,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_주식회사 동우이앤씨,y
1138,2019-11-29,0.9912424298759659,0.9784212318295094,1.0083625714972342,0.9912424298759659,0.9912424298759659,0.001738623513490947,0.001738623513490947,0.001738623513490947,0.0014890635471619847,0.0014890635471619847,0.0014890635471619847,0.0002495599663289623,0.0002495599663289623,0.0002495599663289623,0.0,0.0,0.0,0.9929810533894569,0.9895554879
1139,2019-12-02,0.9912334146636942,0.9775205347124226,1.0087857045226034,0.9912334146636942,0.9912334146636942,0.0017162365853207605,0.0017162365853207605,0.0017162365853207605,0.0014546478627712467,0.0014546478627712467,0.0014546478627712467,0.0002615887225495139,0.0002615887225495139,0.0002615887225495139,0.0,0.0,0.0,0.9929496512490149,0.9837050512
1140,2019-12-03,0.991230409592937,0.9784189909318703,1.008860603886944,0.991230409592937,0.991230409592937,0.0024219774472206902,0.0024219774472206902,0.0024219774472206902,0.002193431222058943,0.002193431222058943,0.002193431222058943,0.00022854622516174704,0.00022854622516174704,0.00022854622516174704,0.0,0.0,0.0,0.9936523870401577,0.9857206389
1141,2019-12-04,0.9912274045221796,0.9778798743425822,1.0076134616488066,0.9912274045221796,0.9912274045221796,0.0014207538445817826,0.0014207538445817826,0.0014207538445817826,0.0012440829294494541,0.0012440829294494541,0.0012440829294494541,0.00017667091513232867,0.00017667091513232867,0.00017667091513232867,0.0,0.0,0.0,0.9926481583667613,1.016358122
1142,2019-12-06,0.991221394380665,0.9771785890708058,1.0075947701870103,0.991221394380665,0.991221394380665,0.001508264562035818,0.001508264562035818,0.001508264562035818,0.001489063547168258,0.001489063547168258,0.001489063547168258,1.920101486756012e-05,1.920101486756012e-05,1.920101486756012e-05,0.0,0.0,0.0,0.9927296589427008,0.9883939838
1143,2019-12-09,0.9912123791683933,0.9762334325109026,1.0077580867564688,0.9912123791683933,0.9912123791683933,0.0011263022025400403,0.0011263022025400403,0.0011263022025400403,0.0014546478627782764,0.0014546478627782764,0.0014546478627782764,-0.0003283456602382361,-0.0003283456602382361,-0.0003283456602382361,0.0,0.0,0.0,0.9923386813709334,1.0008503633
1144,2019-12-10,0.9912093740976361,0.9770072068813193,1.007425899932275,0.9912093740976361,0.9912093740976361,0.0017286086273791846,0.0017286086273791846,0.0017286086273791846,0.0021934312220573083,0.0021934312220573083,0.0021934312220573083,-0.00046482259467812347,-0.00046482259467812347,-0.00046482259467812347,0.0,0.0,0.0,0.9929379827250153,1.0024701165
1145,2019-12-16,0.9911913436730925,0.9754106926348041,1.0080413833138047,0.9911913436730925,0.9911913436730925,0.00016815808541621453,0.00016815808541621453,0.00016815808541621453,0.0014546478627701894,0.0014546478627701894,0.0014546478627701894,-0.0012864897773539748,-0.0012864897773539748,-0.0012864897773539748,0.0,0.0,0.0,0.9913595017585087,0.9882999254
1146,2019-12-17,0.9911883386023352,0.974807069890421,1.0073891163019626,0.9911883386023352,0.9911883386023352,0.0007996052682797235,0.0007996052682797235,0.0007996052682797235,0.0021934312220588314,0.0021934312220588314,0.0021934312220588314,-0.0013938259537791078,-0.0013938259537791078,-0.0013938259537791078,0.0,0.0,0.0,0.991987943870615,0.9868327426
1147,2019-12-19,0.9911823284608207,0.9765754546005088,1.0062650802486215,0.9911823284608207,0.9911823284608207,-0.00017813379612849323,-0.00017813379612849323,-0.00017813379612849323,0.0013795489509002255,0.0013795489509002255,0.0013795489509002255,-0.0015576827470287187,-0.0015576827470287187,-0.0015576827470287187,0.0,0.0,0.0,0.9910041946646921,0.9837064894
1148,2019-12-20,0.9911793233900634,0.9766524385069217,1.006552196210406,0.9911793233900634,0.9911793233900634,-0.0001211522585521706,-0.0001211522585521706,-0.0001211522585521706,0.001489063547161992,0.001489063547161992,0.001489063547161992,-0.0016102158057141626,-0.0016102158057141626,-0.0016102158057141626,0.0,0.0,0.0,0.9910581711315113,1.00230573
1149,2019-12-23,0.9911703081777916,0.9765896227621237,1.007400315909091,0.9911703081777916,0.9911703081777916,-0.00018205578892100999,-0.00018205578892100999,-0.00018205578892100999,0.0014546478627741474,0.0014546478627741474,0.0014546478627741474,-0.0016367036516951572,-0.0016367036516951572,-0.0016367036516951572,0.0,0.0,0.0,0.9909882523888706,0.9983260036
1150,2019-12-27,0.9911582878947626,0.9762376048852611,1.0070434871136422,0.9911582878947626,0.9911582878947626,0.00011280217399293227,0.00011280217399293227,0.00011280217399293227,0.001489063547160946,0.001489063547160946,0.001489063547160946,-0.001376261373168014,-0.001376261373168014,-0.001376261373168014,0.0,0.0,0.0,0.9912710900687555,0.9908488005
1151,2019-12-30,0.9911492726824908,0.975801033929639,1.00698042373063,0.9911492726824908,0.9911492726824908,0.00043300519463178853,0.00043300519463178853,0.00043300519463178853,0.001454647862769132,0.001454647862769132,0.001454647862769132,-0.0010216426681373438,-0.0010216426681373438,-0.0010216426681373438,0.0,0.0,0.0,0.9915822778771225,0.9938262399
