,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_주식회사 아이티엠코퍼레이션건축사사무소,y
1431,2022-02-28,1.0051586402800101,0.9886969424208204,1.011021730389826,1.0051586402800101,1.0051586402800101,-0.005158007155948831,-0.005158007155948831,-0.005158007155948831,-0.004519495929458256,-0.004519495929458256,-0.004519495929458256,-0.0006385112264905755,-0.0006385112264905755,-0.0006385112264905755,0.0,0.0,0.0,1.0000006331240612,1.0015129
1432,2022-03-03,1.005178771387249,0.9892103379485537,1.0117172404658634,1.005178771387249,1.005178771387249,-0.0047341015947987624,-0.0047341015947987624,-0.0047341015947987624,-0.004291792639831044,-0.004291792639831044,-0.004291792639831044,-0.0004423089549677177,-0.0004423089549677177,-0.0004423089549677177,0.0,0.0,0.0,1.0004446697924503,1.0057304
1433,2022-03-10,1.0052257439708068,0.9895526966443624,1.0120317607569587,1.0052257439708068,1.0052257439708068,-0.004137542421877067,-0.004137542421877067,-0.004137542421877067,-0.004291792639828415,-0.004291792639828415,-0.004291792639828415,0.00015425021795134687,0.00015425021795134687,0.00015425021795134687,0.0,0.0,0.0,1.0010882015489297,1.0088925
1434,2022-03-11,1.0052324543398865,0.9895987269531894,1.0125605942027056,1.0052324543398865,1.0052324543398865,-0.004103418924797196,-0.004103418924797196,-0.004103418924797196,-0.00432662884575826,-0.00432662884575826,-0.00432662884575826,0.00022320992096106474,0.00022320992096106474,0.00022320992096106474,0.0,0.0,0.0,1.0011290354150892,1.0088813
1435,2022-03-15,1.005259295816205,0.9911147368817032,1.0123061672187963,1.005259295816205,1.005259295816205,-0.004151651261080573,-0.004151651261080573,-0.004151651261080573,-0.004551749711606792,-0.004551749711606792,-0.004551749711606792,0.000400098450526219,0.000400098450526219,0.000400098450526219,0.0,0.0,0.0,1.0011076445551244,0.9909447
1436,2022-03-17,1.0052727165543645,0.989358710596229,1.012505037892388,1.0052727165543645,1.0052727165543645,-0.0038667333550578965,-0.0038667333550578965,-0.0038667333550578965,-0.004291792639839626,-0.004291792639839626,-0.004291792639839626,0.0004250592847817294,0.0004250592847817294,0.0004250592847817294,0.0,0.0,0.0,1.0014059831993065,1.0041143
1437,2022-03-22,1.005306268399763,0.9894714838192376,1.0125368022259293,1.005306268399763,1.005306268399763,-0.004201970608986645,-0.004201970608986645,-0.004201970608986645,-0.0045517497116024696,-0.0045517497116024696,-0.0045517497116024696,0.00034977910261582435,0.00034977910261582435,0.00034977910261582435,0.0,0.0,0.0,1.0011042977907763,0.9941357
1438,2022-03-28,1.0053465306142408,0.990732072977888,1.0118365719619646,1.0053465306142408,1.0053465306142408,-0.004285610764338424,-0.004285610764338424,-0.004285610764338424,-0.004519495929444295,-0.004519495929444295,-0.004519495929444295,0.00023388516510587204,0.00023388516510587204,0.00023388516510587204,0.0,0.0,0.0,1.0010609198499023,1.0031611
1439,2022-03-29,1.0053532409833206,0.9900380357585642,1.0128332035053846,1.0053532409833206,1.0053532409833206,-0.004316280890104025,-0.004316280890104025,-0.004316280890104025,-0.004551749711604927,-0.004551749711604927,-0.004551749711604927,0.00023546882150090174,0.00023546882150090174,0.00023546882150090174,0.0,0.0,0.0,1.0010369600932165,0.9911588
1440,2022-03-31,1.0053666617214798,0.990856182350918,1.012545214930244,1.0053666617214798,1.0053666617214798,-0.004025309108152133,-0.004025309108152133,-0.004025309108152133,-0.004291792639834365,-0.004291792639834365,-0.004291792639834365,0.00026648353168223316,0.00026648353168223316,0.00026648353168223316,0.0,0.0,0.0,1.0013413526133277,1.0039603
1441,2022-04-05,1.0054002135668783,0.9891675611152326,1.0133575001904105,1.0054002135668783,1.0054002135668783,-0.004044464847813943,-0.004044464847813943,-0.004044464847813943,-0.00455174971160913,-0.00455174971160913,-0.00455174971160913,0.0005072848637951867,0.0005072848637951867,0.0005072848637951867,0.0,0.0,0.0,1.0013557487190643,0.9832164
1442,2022-04-07,1.0054136343050375,0.990394723963068,1.0135402904891309,1.0054136343050375,1.0054136343050375,-0.0036399052838620035,-0.0036399052838620035,-0.0036399052838620035,-0.004291792639845577,-0.004291792639845577,-0.004291792639845577,0.0006518873559835729,0.0006518873559835729,0.0006518873559835729,0.0,0.0,0.0,1.0017737290211755,0.9986349
1443,2022-04-11,1.0054404757813562,0.9909699277577539,1.013256152759831,1.0054404757813562,1.0054404757813562,-0.003568318540381049,-0.003568318540381049,-0.003568318540381049,-0.004519495929442371,-0.004519495929442371,-0.004519495929442371,0.000951177389061322,0.000951177389061322,0.000951177389061322,0.0,0.0,0.0,1.0018721572409752,1.0086296
1444,2022-04-13,1.0054538965195154,0.9901728335311357,1.0131598479052226,1.0054538965195154,1.0054538965195154,-0.00392453549304294,-0.00392453549304294,-0.00392453549304294,-0.004997650329912308,-0.004997650329912308,-0.004997650329912308,0.0010731148368693685,0.0010731148368693685,0.0010731148368693685,0.0,0.0,0.0,1.0015293610264726,1.0055578
1445,2022-04-14,1.0054606068885954,0.9910249377020264,1.0142012506348932,1.0054606068885954,1.0054606068885954,-0.003171502893012407,-0.003171502893012407,-0.003171502893012407,-0.004291792639842947,-0.004291792639842947,-0.004291792639842947,0.0011202897468305388,0.0011202897468305388,0.0011202897468305388,0.0,0.0,0.0,1.002289103995583,1.0053216
1446,2022-04-18,1.0054874483649139,0.9897930676201903,1.0134761686533729,1.0054874483649139,1.0054874483649139,-0.0033365767056721383,-0.0033365767056721383,-0.0033365767056721383,-0.004519495929465996,-0.004519495929465996,-0.004519495929465996,0.0011829192237938582,0.0011829192237938582,0.0011829192237938582,0.0,0.0,0.0,1.0021508716592418,1.0021282
1447,2022-04-19,1.0054941587339936,0.9906253914110267,1.0138869550863827,1.0054941587339936,1.0054941587339936,-0.0033891209453457668,-0.0033891209453457668,-0.0033891209453457668,-0.004551749711607265,-0.004551749711607265,-0.004551749711607265,0.0011626287662614978,0.0011626287662614978,0.0011626287662614978,0.0,0.0,0.0,1.0021050377886478,1.0053195
1448,2022-04-22,1.0055142898412326,0.9906988063374627,1.0126057236514632,1.0055142898412326,1.0055142898412326,-0.0033129970191743603,-0.0033129970191743603,-0.0033129970191743603,-0.004326628845795774,-0.004326628845795774,-0.004326628845795774,0.001013631826621414,0.001013631826621414,0.001013631826621414,0.0,0.0,0.0,1.0022012928220583,1.0022441
