,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)한국종합건축사사무소,y
1407,2022-02-04,0.9903120453737508,0.9813388728263495,1.0020024852870208,0.9903120453737508,0.9903120453737508,0.0012951388382451965,0.0012951388382451965,0.0012951388382451965,0.0009114508206454131,0.0009114508206454131,0.0009114508206454131,0.00038368801759978337,0.00038368801759978337,0.00038368801759978337,0.0,0.0,0.0,0.991607184211996,0.9895378
1408,2022-02-07,0.9903119694334052,0.9806569613610264,1.0026428032651657,0.9903119694334052,0.9903119694334052,0.0012562973184124004,0.0012562973184124004,0.0012562973184124004,0.0006951899640915797,0.0006951899640915797,0.0006951899640915797,0.0005611073543208208,0.0005611073543208208,0.0005611073543208208,0.0,0.0,0.0,0.9915682667518175,0.9901364
1409,2022-02-08,0.9903119441199566,0.981864112816562,1.0026923887098846,0.9903119441199566,0.9903119441199566,0.001785290791905071,0.001785290791905071,0.001785290791905071,0.001149348066104639,0.001149348066104639,0.001149348066104639,0.0006359427258004323,0.0006359427258004323,0.0006359427258004323,0.0,0.0,0.0,0.9920972349118616,1.0003752
1410,2022-02-10,0.9903118934930595,0.9816066845767524,1.0019088386671533,0.9903118934930595,0.9903118934930595,0.0013243162286871648,0.0013243162286871648,0.0013243162286871648,0.0005216538611331974,0.0005216538611331974,0.0005216538611331974,0.0008026623675539673,0.0008026623675539673,0.0008026623675539673,0.0,0.0,0.0,0.9916362097217466,0.9906781
1411,2022-02-11,0.9903118681796109,0.9812858282803629,1.0024147826770426,0.9903118681796109,0.9903118681796109,0.0018033540374062513,0.0018033540374062513,0.0018033540374062513,0.0009114508206416683,0.0009114508206416683,0.0009114508206416683,0.0008919032167645832,0.0008919032167645832,0.0008919032167645832,0.0,0.0,0.0,0.9921152222170172,0.9858286
1412,2022-02-14,0.9903117922392652,0.9819763822225843,1.0032173083161764,0.9903117922392652,0.9903117922392652,0.0018604644186099024,0.0018604644186099024,0.0018604644186099024,0.0006951899640941471,0.0006951899640941471,0.0006951899640941471,0.0011652744545157553,0.0011652744545157553,0.0011652744545157553,0.0,0.0,0.0,0.9921722566578751,0.990135
1413,2022-02-15,0.9903117669258167,0.9818166478877597,1.0035355309922254,0.9903117669258167,0.9903117669258167,0.002402330910489614,0.002402330910489614,0.002402330910489614,0.001149348066105962,0.001149348066105962,0.001149348066105962,0.0012529828443836523,0.0012529828443836523,0.0012529828443836523,0.0,0.0,0.0,0.9927140978363063,0.9905489
1414,2022-02-17,0.9903117162989197,0.981304478827289,1.0016627115916679,0.9903117162989197,0.9903117162989197,0.0019353008433394435,0.0019353008433394435,0.0019353008433394435,0.000521653861133785,0.000521653861133785,0.000521653861133785,0.0014136469822056583,0.0014136469822056583,0.0014136469822056583,0.0,0.0,0.0,0.9922470171422592,0.9905929
1415,2022-02-21,0.9903116150451254,0.9823016252115137,1.0031608604463569,0.9903116150451254,0.9903116150451254,0.002329922933724668,0.002329922933724668,0.002329922933724668,0.0006951899640936287,0.0006951899640936287,0.0006951899640936287,0.0016347329696310387,0.0016347329696310387,0.0016347329696310387,0.0,0.0,0.0,0.9926415379788501,0.9885483
1416,2022-02-22,0.9903115897316769,0.9822034004463204,1.003629576966814,0.9903115897316769,0.9903115897316769,0.00281119476750493,0.00281119476750493,0.00281119476750493,0.0011493480661050506,0.0011493480661050506,0.0011493480661050506,0.0016618467013998798,0.0016618467013998798,0.0016618467013998798,0.0,0.0,0.0,0.9931227844991818,0.9935788
1417,2022-02-24,0.9903115391047798,0.9814615695923187,1.0025087662409924,0.9903115391047798,0.9903115391047798,0.002197738157613802,0.002197738157613802,0.002197738157613802,0.0005216538611343728,0.0005216538611343728,0.0005216538611343728,0.0016760842964794293,0.0016760842964794293,0.0016760842964794293,0.0,0.0,0.0,0.9925092772623936,0.9896564
1418,2022-02-25,0.9903115137913312,0.9828291043465389,1.003403532250235,0.9903115137913312,0.9903115137913312,0.0025736818979765525,0.0025736818979765525,0.0025736818979765525,0.0009114508206400028,0.0009114508206400028,0.0009114508206400028,0.0016622310773365496,0.0016622310773365496,0.0016622310773365496,0.0,0.0,0.0,0.9928851956893078,0.9901567
1419,2022-02-28,0.9903114378509855,0.9816741865276805,1.0031394561321032,0.9903114378509855,0.9903114378509855,0.002230806400100541,0.002230806400100541,0.002230806400100541,0.0006951899640992821,0.0006951899640992821,0.0006951899640992821,0.001535616436001259,0.001535616436001259,0.001535616436001259,0.0,0.0,0.0,0.9925422442510861,0.9906568
1420,2022-03-02,0.9903113872240884,0.9817656257691437,1.0028771310180953,0.9903113872240884,0.9903113872240884,0.0024644666871388526,0.0024644666871388526,0.0024644666871388526,0.0010805646677027744,0.0010805646677027744,0.0010805646677027744,0.0013839020194360784,0.0013839020194360784,0.0013839020194360784,0.0,0.0,0.0,0.9927758539112272,0.9866348
1421,2022-03-03,0.9903113619106398,0.9809103442468268,1.0022270428673565,0.9903113619106398,0.9903113619106398,0.0018117203204648961,0.0018117203204648961,0.0018117203204648961,0.000521653861132436,0.000521653861132436,0.000521653861132436,0.00129006645933246,0.00129006645933246,0.00129006645933246,0.0,0.0,0.0,0.9921230822311048,0.9908391
1422,2022-03-04,0.9903113365971913,0.9821063558320716,1.002893439049667,0.9903113365971913,0.9903113365971913,0.0020971374506253628,0.0020971374506253628,0.0020971374506253628,0.0009114508206381994,0.0009114508206381994,0.0009114508206381994,0.0011856866299871634,0.0011856866299871634,0.0011856866299871634,0.0,0.0,0.0,0.9924084740478166,1.0086275999999998
1423,2022-03-07,0.9903112606568457,0.9811084633538166,1.002366578682266,0.9903112606568457,0.9903112606568457,0.0015179867423745078,0.0015179867423745078,0.0015179867423745078,0.0006951899640987637,0.0006951899640987637,0.0006951899640987637,0.0008227967782757441,0.0008227967782757441,0.0008227967782757441,0.0,0.0,0.0,0.9918292473992202,0.9905676
1424,2022-03-10,0.9903111847165,0.9809435901992029,1.0012098345803773,0.9903111847165,0.9903111847165,0.0009394709863891641,0.0009394709863891641,0.0009394709863891641,0.0005216538611324555,0.0005216538611324555,0.0005216538611324555,0.0004178171252567086,0.0004178171252567086,0.0004178171252567086,0.0,0.0,0.0,0.9912506557028892,0.9893735
1425,2022-03-11,0.9903111594030515,0.981242137715481,1.0011265566133558,0.9903111594030515,0.9903111594030515,0.0011925439089642215,0.0011925439089642215,0.0011925439089642215,0.0009114508206363962,0.0009114508206363962,0.0009114508206363962,0.00028109308832782536,0.00028109308832782536,0.00028109308832782536,0.0,0.0,0.0,0.9915037033120156,0.9908279
1426,2022-03-14,0.9903110834627058,0.9804972220607693,1.001652191736253,0.9903110834627058,0.9903110834627058,0.0005827403550737519,0.0005827403550737519,0.0005827403550737519,0.0006951899640910597,0.0006951899640910597,0.0006951899640910597,-0.00011244960901730785,-0.00011244960901730785,-0.00011244960901730785,0.0,0.0,0.0,0.9908938238177796,0.9896399
1427,2022-03-15,0.9903110581492572,0.9804390307121607,1.0011436326491256,0.9903110581492572,0.9903110581492572,0.0009158053531489194,0.0009158053531489194,0.0009158053531489194,0.001149348066104538,0.001149348066104538,0.001149348066104538,-0.0002335427129556186,-0.0002335427129556186,-0.0002335427129556186,0.0,0.0,0.0,0.9912268635024062,0.9941386
1428,2022-03-17,0.9903110075223601,0.979225797924591,1.0008631612032939,0.9903110075223601,0.9903110075223601,6.767786625007744e-05,6.767786625007744e-05,6.767786625007744e-05,0.0005216538611336114,0.0005216538611336114,0.0005216538611336114,-0.00045397599488353397,-0.00045397599488353397,-0.00045397599488353397,0.0,0.0,0.0,0.9903786853886102,0.9905697
1429,2022-03-18,0.9903109822089116,0.9801574355346201,1.0015751375891735,0.9903109822089116,0.9903109822089116,0.0003597191744638193,0.0003597191744638193,0.0003597191744638193,0.0009114508206365342,0.0009114508206365342,0.0009114508206365342,-0.0005517316461727149,-0.0005517316461727149,-0.0005517316461727149,0.0,0.0,0.0,0.9906707013833754,0.9896242
1430,2022-03-22,0.9903108809551173,0.979903860245216,1.000542354002632,0.9903108809551173,0.9903108809551173,0.0002989644528360461,0.0002989644528360461,0.0002989644528360461,0.0011493480661036268,0.0011493480661036268,0.0011493480661036268,-0.0008503836132675806,-0.0008503836132675806,-0.0008503836132675806,0.0,0.0,0.0,0.9906098454079534,0.9903281
1431,2022-03-24,0.9903108303282203,0.9789010196495956,1.0007496685981299,0.9903108303282203,0.9903108303282203,-0.0004230847447935439,-0.0004230847447935439,-0.0004230847447935439,0.0005216538611336309,0.0005216538611336309,0.0005216538611336309,-0.0009447386059271748,-0.0009447386059271748,-0.0009447386059271748,0.0,0.0,0.0,0.9898877455834267,0.9904377
1432,2022-03-25,0.9903108050147718,0.9793063475013422,1.0005366081368048,0.9903108050147718,0.9903108050147718,-6.800569209706023e-05,-6.800569209706023e-05,-6.800569209706023e-05,0.0009114508206422288,0.0009114508206422288,0.0009114508206422288,-0.000979456512739289,-0.000979456512739289,-0.000979456512739289,0.0,0.0,0.0,0.9902427993226747,0.9897693
1433,2022-03-28,0.9903107290744261,0.9790481234413252,1.0008775566370964,0.9903107290744261,0.9903107290744261,-0.0003465741438101008,-0.0003465741438101008,-0.0003465741438101008,0.0006951899640961945,0.0006951899640961945,0.0006951899640961945,-0.0010417641079062954,-0.0010417641079062954,-0.0010417641079062954,0.0,0.0,0.0,0.989964154930616,0.9901193
1434,2022-03-29,0.9903107037609775,0.9798480679437451,1.0018004008786054,0.9903107037609775,0.9903107037609775,9.820131557513582e-05,9.820131557513582e-05,9.820131557513582e-05,0.0011493480661049368,0.0011493480661049368,0.0011493480661049368,-0.001051146750529801,-0.001051146750529801,-0.001051146750529801,0.0,0.0,0.0,0.9904089050765527,0.9909599
1435,2022-03-30,0.990310678447529,0.9804019468914041,1.0020770713286804,0.990310678447529,0.990310678447529,2.4424782473929057e-05,2.4424782473929057e-05,2.4424782473929057e-05,0.0010805646677049317,0.0010805646677049317,0.0010805646677049317,-0.0010561398852310026,-0.0010561398852310026,-0.0010561398852310026,0.0,0.0,0.0,0.9903351032300028,0.9914437
1436,2022-03-31,0.9903106531340804,0.9790365237401695,1.0000479356748615,0.9903106531340804,0.9903106531340804,-0.0005358208626403656,-0.0005358208626403656,-0.0005358208626403656,0.0005216538611336504,0.0005216538611336504,0.0005216538611336504,-0.001057474723774016,-0.001057474723774016,-0.001057474723774016,0.0,0.0,0.0,0.98977483227144,0.9906799
1437,2022-04-01,0.9903106278206318,0.981018626152556,1.0009359682984142,0.9903106278206318,0.9903106278206318,-0.0001443573197916344,-0.0001443573197916344,-0.0001443573197916344,0.0009114508206404256,0.0009114508206404256,0.0009114508206404256,-0.00105580814043206,-0.00105580814043206,-0.00105580814043206,0.0,0.0,0.0,0.9901662705008402,0.990533
1438,2022-04-04,0.9903105518802862,0.9789527981771814,1.0002597589542008,0.9903105518802862,0.9903105518802862,-0.0003425620238572597,-0.0003425620238572597,-0.0003425620238572597,0.0006951899640956765,0.0006951899640956765,0.0006951899640956765,-0.0010377519879529362,-0.0010377519879529362,-0.0010377519879529362,0.0,0.0,0.0,0.9899679898564289,0.9907482
1439,2022-04-05,0.9903105265668376,0.9798037640887713,1.0009152391648888,0.9903105265668376,0.9903105265668376,0.00012098300484793231,0.00012098300484793231,0.00012098300484793231,0.0011493480661040377,0.0011493480661040377,0.0011493480661040377,-0.0010283650612561055,-0.0010283650612561055,-0.0010283650612561055,0.0,0.0,0.0,0.9904315095716856,0.9907784
1440,2022-04-06,0.990310501253389,0.979645958056116,1.0015376053045972,0.990310501253389,0.990310501253389,6.315256302017805e-05,6.315256302017805e-05,6.315256302017805e-05,0.0010805646677039037,0.0010805646677039037,0.0010805646677039037,-0.0010174121046837255,-0.0010174121046837255,-0.0010174121046837255,0.0,0.0,0.0,0.9903736538164092,0.989535
1441,2022-04-07,0.9903104759399405,0.9791929313611666,1.000670681078779,0.9903104759399405,0.9903104759399405,-0.0004830772006346477,-0.0004830772006346477,-0.0004830772006346477,0.0005216538611348063,0.0005216538611348063,0.0005216538611348063,-0.0010047310617694542,-0.0010047310617694542,-0.0010047310617694542,0.0,0.0,0.0,0.9898273987393058,0.9896371
1442,2022-04-08,0.9903104506264919,0.9793432818831839,1.000914823584662,0.9903104506264919,0.9903104506264919,-7.855917118328261e-05,-7.855917118328261e-05,-7.855917118328261e-05,0.0009114508206386221,0.0009114508206386221,0.0009114508206386221,-0.0009900099918219048,-0.0009900099918219048,-0.0009900099918219048,0.0,0.0,0.0,0.9902318914553087,0.9904398
1443,2022-04-11,0.9903103746861464,0.9786756561876392,1.000748136018162,0.9903103746861464,0.9903103746861464,-0.00023333699261942413,-0.00023333699261942413,-0.00023333699261942413,0.0006951899640951579,0.0006951899640951579,0.0006951899640951579,-0.0009285269567145821,-0.0009285269567145821,-0.0009285269567145821,0.0,0.0,0.0,0.990077037693527,0.9908689
1444,2022-04-13,0.9903103240592492,0.979438530639046,1.0012643127126424,0.9903103240592492,0.9903103240592492,0.0002142160052877942,0.0002142160052877942,0.0002142160052877942,0.0010805646677037935,0.0010805646677037935,0.0010805646677037935,-0.0008663486624159993,-0.0008663486624159993,-0.0008663486624159993,0.0,0.0,0.0,0.990524540064537,0.9906388
1445,2022-04-14,0.9903102987458007,0.9792843840237032,0.9995911449847786,0.9903102987458007,0.9903102987458007,-0.0003049589846657815,-0.0003049589846657815,-0.0003049589846657815,0.000521653861134826,0.000521653861134826,0.000521653861134826,-0.0008266128458006074,-0.0008266128458006074,-0.0008266128458006074,0.0,0.0,0.0,0.9900053397611349,0.9905284
1446,2022-04-18,0.9903101974920064,0.9798957126912026,1.000921110478712,0.9903101974920064,0.9903101974920064,0.00010147115332531096,0.00010147115332531096,0.00010147115332531096,0.0006951899641008114,0.0006951899641008114,0.0006951899641008114,-0.0005937188107755004,-0.0005937188107755004,-0.0005937188107755004,0.0,0.0,0.0,0.9904116686453317,1.0195345
1447,2022-04-19,0.9903101721785579,0.980869852262269,1.00135919098563,0.9903101721785579,0.9903101721785579,0.0006347749116906252,0.0006347749116906252,0.0006347749116906252,0.0011493480661044367,0.0011493480661044367,0.0011493480661044367,-0.0005145731544138115,-0.0005145731544138115,-0.0005145731544138115,0.0,0.0,0.0,0.9909449470902485,0.9944373
1448,2022-04-21,0.9903101215516608,0.9798996556089083,1.00122758160555,0.9903101215516608,0.9903101215516608,0.0001914624683452161,0.0001914624683452161,0.0001914624683452161,0.0005216538611328892,0.0005216538611328892,0.0005216538611328892,-0.000330191392787673,-0.000330191392787673,-0.000330191392787673,0.0,0.0,0.0,0.990501584020006,0.9877523
1449,2022-04-22,0.9903100962382122,0.9812075469395041,1.0017586794878013,0.9903100962382122,0.9903100962382122,0.0006858899637644271,0.0006858899637644271,0.0006858899637644271,0.0009114508206425133,0.0009114508206425133,0.0009114508206425133,-0.00022556085687808634,-0.00022556085687808634,-0.00022556085687808634,0.0,0.0,0.0,0.9909959862019766,0.9904168
1450,2022-04-25,0.9903100202978665,0.9803431400004009,1.0015713855357338,0.9903100202978665,0.9903100202978665,0.0008242670263159978,0.0008242670263159978,0.0008242670263159978,0.0006951899641002929,0.0006951899641002929,0.0006951899641002929,0.00012907706221570488,0.00012907706221570488,0.00012907706221570488,0.0,0.0,0.0,0.9911342873241825,0.990778
