,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_주식회사 영화키스톤건축사사무소,y
996,2019-02-14,0.9939049683581538,0.9813623182120332,1.0077709350415371,0.9939049683581538,0.9939049683581538,0.0008073090706230101,0.0008073090706230101,0.0008073090706230101,0.0005343490729106147,0.0005343490729106147,0.0005343490729106147,0.00027295999771239553,0.00027295999771239553,0.00027295999771239553,0.0,0.0,0.0,0.9947122774287768,0.9969989437
997,2019-02-18,0.9938326850167395,0.9821278500610151,1.008105194475857,0.9938326850167395,0.9938326850167395,0.0015387305132056135,0.0015387305132056135,0.0015387305132056135,0.0009655730730213176,0.0009655730730213176,0.0009655730730213176,0.000573157440184296,0.000573157440184296,0.000573157440184296,0.0,0.0,0.0,0.9953714155299451,1.0062492706
998,2019-02-22,0.9937604016753254,0.9815870603805517,1.0080715174339772,0.9937604016753254,0.9937604016753254,0.0014090179735155018,0.0014090179735155018,0.0014090179735155018,0.0009119701517356346,0.0009119701517356346,0.0009119701517356346,0.0004970478217798673,0.0004970478217798673,0.0004970478217798673,0.0,0.0,0.0,0.9951694196488409,1.0065946233
999,2019-02-25,0.9937061891692649,0.9814343030101347,1.007683224653684,0.9937061891692649,0.9937061891692649,0.0012040963248880537,0.0012040963248880537,0.0012040963248880537,0.0009655730730234639,0.0009655730730234639,0.0009655730730234639,0.00023852325186458987,0.00023852325186458987,0.00023852325186458987,0.0,0.0,0.0,0.994910285494153,1.0071985024
1000,2019-02-28,0.9936519766632042,0.9810530680733421,1.0069605290659491,0.9936519766632042,0.9936519766632042,0.0004167140841830345,0.0004167140841830345,0.0004167140841830345,0.0005343490729100372,0.0005343490729100372,0.0005343490729100372,-0.00011763498872700274,-0.00011763498872700274,-0.00011763498872700274,0.0,0.0,0.0,0.9940686907473872,0.9971499246
1001,2019-03-04,0.9935796933217901,0.9817491185150943,1.006502617163426,0.9935796933217901,0.9935796933217901,0.0003611839016771129,0.0003611839016771129,0.0003611839016771129,0.00096557307302561,0.00096557307302561,0.00096557307302561,-0.0006043891713484972,-0.0006043891713484972,-0.0006043891713484972,0.0,0.0,0.0,0.9939408772234672,0.9967491734
1002,2019-03-05,0.9935616224864365,0.9810332037391674,1.0079162146414975,0.9935616224864365,0.9935616224864365,0.0005340732770089036,0.0005340732770089036,0.0005340732770089036,0.001243683625019984,0.001243683625019984,0.001243683625019984,-0.0007096103480110806,-0.0007096103480110806,-0.0007096103480110806,0.0,0.0,0.0,0.9940956957634455,0.9968742324
1003,2019-03-06,0.9935435516510829,0.9799688583021953,1.0064532744179342,0.9935435516510829,0.9935435516510829,-0.0004994280126591889,-0.0004994280126591889,-0.0004994280126591889,0.00030428567442191806,0.00030428567442191806,0.00030428567442191806,-0.0008037136870811069,-0.0008037136870811069,-0.0008037136870811069,0.0,0.0,0.0,0.9930441236384236,0.9942606443
1004,2019-03-07,0.9935254808157293,0.9795836820845358,1.0063828883163546,0.9935254808157293,0.9935254808157293,-0.000350661457563193,-0.000350661457563193,-0.000350661457563193,0.0005343490729107725,0.0005343490729107725,0.0005343490729107725,-0.0008850105304739655,-0.0008850105304739655,-0.0008850105304739655,0.0,0.0,0.0,0.9931748193581661,0.9963239421
1005,2019-03-12,0.9934351266389617,0.9808445337228392,1.006882342458205,0.9934351266389617,0.9934351266389617,0.00017646760294236897,0.00017646760294236897,0.00017646760294236897,0.0012436836250199871,0.0012436836250199871,0.0012436836250199871,-0.0010672160220776183,-0.0010672160220776183,-0.0010672160220776183,0.0,0.0,0.0,0.993611594241904,0.9961738862
1006,2019-03-13,0.9934170558036082,0.9787472588000461,1.0048579962890292,0.9934170558036082,0.9934170558036082,-0.0007534344927182532,-0.0007534344927182532,-0.0007534344927182532,0.00030428567442167726,0.00030428567442167726,0.00030428567442167726,-0.0010577201671399306,-0.0010577201671399306,-0.0010577201671399306,0.0,0.0,0.0,0.9926636213108899,0.9922499192
1007,2019-03-19,0.993308630791487,0.9815413948185651,1.0075270510498682,0.993308630791487,0.993308630791487,0.0004924981075696657,0.0004924981075696657,0.0004924981075696657,0.0012436836250176342,0.0012436836250176342,0.0012436836250176342,-0.0007511855174479684,-0.0007511855174479684,-0.0007511855174479684,0.0,0.0,0.0,0.9938011288990567,0.9923740918
1008,2019-03-20,0.9932905599561335,0.9804470568693164,1.0073680675731604,0.9932905599561335,0.9932905599561335,-0.0003680070133049899,-0.0003680070133049899,-0.0003680070133049899,0.00030428567442088356,0.00030428567442088356,0.00030428567442088356,-0.0006722926877258735,-0.0006722926877258735,-0.0006722926877258735,0.0,0.0,0.0,0.9929225529428285,0.9960988191
1009,2019-03-22,0.9932544182854264,0.9809699874469711,1.0063463766951548,0.9932544182854264,0.9932544182854264,0.000407191824859145,0.000407191824859145,0.000407191824859145,0.0009119701517376475,0.0009119701517376475,0.0009119701517376475,-0.0005047783268785025,-0.0005047783268785025,-0.0005047783268785025,0.0,0.0,0.0,0.9936616101102855,1.0092246116
1010,2019-03-25,0.9932002057793657,0.9812514436437632,1.0067994697828715,0.9932002057793657,0.9932002057793657,0.000716872463528342,0.000716872463528342,0.000716872463528342,0.0009655730730271229,0.0009655730730271229,0.0009655730730271229,-0.0002487006094987808,-0.0002487006094987808,-0.0002487006094987808,0.0,0.0,0.0,0.9939170782428941,0.9971491361
1011,2019-03-27,0.9931640641086587,0.9798072912404452,1.006714615898294,0.9931640641086587,0.9931640641086587,0.00021863725211546714,0.00021863725211546714,0.00021863725211546714,0.00030428567442220526,0.00030428567442220526,0.00030428567442220526,-8.564842230673814e-05,-8.564842230673814e-05,-8.564842230673814e-05,0.0,0.0,0.0,0.9933827013607741,0.9941713984
1012,2019-03-28,0.9931459932733051,0.9800029792656576,1.007436316151477,0.9931459932733051,0.9931459932733051,0.0005264031749395578,0.0005264031749395578,0.0005264031749395578,0.0005343490729109307,0.0005343490729109307,0.0005343490729109307,-7.945897971372784e-06,-7.945897971372784e-06,-7.945897971372784e-06,0.0,0.0,0.0,0.9936723964482447,0.9959494717
