ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)태원종합기술단건축사사무소
2017-11-10,1.0026898958806976,0.9884480470361205,1.015879723920871,1.0026898958806976,1.0026898958806976,-0.001136273954711111,-0.001136273954711111,-0.001136273954711111,0.00040799534184504383,0.00040799534184504383,0.00040799534184504383,-0.0015442692965561547,-0.0015442692965561547,-0.0015442692965561547,0.0,0.0,0.0,1.0015536219259864
2017-11-13,1.0027494655268039,0.9881874992892157,1.0151357343690384,1.0027494655268039,1.0027494655268039,-0.001116188896967432,-0.001116188896967432,-0.001116188896967432,0.0004366522480601672,0.0004366522480601672,0.0004366522480601672,-0.0015528411450275992,-0.0015528411450275992,-0.0015528411450275992,0.0,0.0,0.0,1.0016332766298364
2017-11-14,1.002769322075506,0.9888299118918932,1.0153643900133291,1.002769322075506,1.002769322075506,-0.0008216762732163226,-0.0008216762732163226,-0.0008216762732163226,0.0006646670663179702,0.0006646670663179702,0.0006646670663179702,-0.0014863433395342928,-0.0014863433395342928,-0.0014863433395342928,0.0,0.0,0.0,1.0019476458022898
2017-11-15,1.002789178624208,0.988131253208843,1.0154630015565702,1.002789178624208,1.002789178624208,-0.0012114423651972948,-0.0012114423651972948,-0.0012114423651972948,0.0001780104219217412,0.0001780104219217412,0.0001780104219217412,-0.001389452787119036,-0.001389452787119036,-0.001389452787119036,0.0,0.0,0.0,1.0015777362590108
2017-11-16,1.0028090351729102,0.9876621733734223,1.0156087479462341,1.0028090351729102,1.0028090351729102,-0.0008296579557335797,-0.0008296579557335797,-0.0008296579557335797,0.0004362114318284653,0.0004362114318284653,0.0004362114318284653,-0.001265869387562045,-0.001265869387562045,-0.001265869387562045,0.0,0.0,0.0,1.0019793772171766
2017-11-17,1.0028288917216122,0.9885805061752063,1.0160225100368925,1.0028288917216122,1.0028288917216122,-0.00071191546324236,-0.00071191546324236,-0.00071191546324236,0.0004079953418442491,0.0004079953418442491,0.0004079953418442491,-0.0011199108050866091,-0.0011199108050866091,-0.0011199108050866091,0.0,0.0,0.0,1.0021169762583697
2017-11-20,1.0028884613677183,0.9890010007719747,1.0167279740572113,1.0028884613677183,1.0028884613677183,-0.00016102842030977978,-0.00016102842030977978,-0.00016102842030977978,0.0004366522480590647,0.0004366522480590647,0.0004366522480590647,-0.0005976806683688445,-0.0005976806683688445,-0.0005976806683688445,0.0,0.0,0.0,1.0027274329474085
2017-11-21,1.0029083179164204,0.9901463223863136,1.0178907257371104,1.0029083179164204,1.0029083179164204,0.0002512495208786226,0.0002512495208786226,0.0002512495208786226,0.0006646670663177939,0.0006646670663177939,0.0006646670663177939,-0.00041341754543917117,-0.00041341754543917117,-0.00041341754543917117,0.0,0.0,0.0,1.003159567437299
2017-11-23,1.0029480310138246,0.9903012730618845,1.01695325375095,1.0029480310138246,1.0029480310138246,0.0003739683762006131,0.0003739683762006131,0.0003739683762006131,0.0004362114318288503,0.0004362114318288503,0.0004362114318288503,-6.224305562823719e-05,-6.224305562823719e-05,-6.224305562823719e-05,0.0,0.0,0.0,1.003321999390025
2017-11-30,1.003087026854739,0.991010510659313,1.0183958457298234,1.003087026854739,1.003087026854739,0.0009645823387324056,0.0009645823387324056,0.0009645823387324056,0.00043621143182814864,0.00043621143182814864,0.00043621143182814864,0.0005283709069042568,0.0005283709069042568,0.0005283709069042568,0.0,0.0,0.0,1.0040516091934713
2017-12-01,1.0031068834034411,0.9900762203543165,1.0180751636764476,1.0031068834034411,1.0031068834034411,0.0009047469025279456,0.0009047469025279456,0.0009047469025279456,0.0004079953418447216,0.0004079953418447216,0.0004079953418447216,0.000496751560683224,0.000496751560683224,0.000496751560683224,0.0,0.0,0.0,1.004011630305969
2017-12-04,1.0031664530495472,0.9901086147591303,1.0177410648680691,1.0031664530495472,1.0031664530495472,0.0006628417836249869,0.0006628417836249869,0.0006628417836249869,0.00043665224806026405,0.00043665224806026405,0.00043665224806026405,0.0002261895355647228,0.0002261895355647228,0.0002261895355647228,0.0,0.0,0.0,1.0038292948331722
2017-12-05,1.0031863095982494,0.9902005346271756,1.0169037939370793,1.0031863095982494,1.0031863095982494,0.0007497450009617532,0.0007497450009617532,0.0007497450009617532,0.0006646670663168194,0.0006646670663168194,0.0006646670663168194,8.507793464493371e-05,8.507793464493371e-05,8.507793464493371e-05,0.0,0.0,0.0,1.003936054599211
2017-12-06,1.0032061661469514,0.9892050840851078,1.0162574406340432,1.0032061661469514,1.0032061661469514,0.00010199661139168457,0.00010199661139168457,0.00010199661139168457,0.00017801042192182098,0.00017801042192182098,0.00017801042192182098,-7.601381053013641e-05,-7.601381053013641e-05,-7.601381053013641e-05,0.0,0.0,0.0,1.0033081627583431
2017-12-07,1.0032260226956533,0.9888953929262001,1.017837797015293,1.0032260226956533,1.0032260226956533,0.0001832209261841919,0.0001832209261841919,0.0001832209261841919,0.00043621143182855717,0.00043621143182855717,0.00043621143182855717,-0.0002529905056443652,-0.0002529905056443652,-0.0002529905056443652,0.0,0.0,0.0,1.0034092436218376
2017-12-08,1.0032458792443555,0.9888046250118346,1.0169877771079754,1.0032458792443555,1.0032458792443555,-3.337573345740105e-05,-3.337573345740105e-05,-3.337573345740105e-05,0.00040799534184412866,0.00040799534184412866,0.00040799534184412866,-0.0004413710753015297,-0.0004413710753015297,-0.0004413710753015297,0.0,0.0,0.0,1.003212503510898
2017-12-11,1.0033306698899953,0.989713057243357,1.0159224914234455,1.0033306698899953,1.0033306698899953,-0.0005902563691434849,-0.0005902563691434849,-0.0005902563691434849,0.0004366522480587609,0.0004366522480587609,0.0004366522480587609,-0.001026908617202246,-0.001026908617202246,-0.001026908617202246,0.0,0.0,0.0,1.0027404135208517
2017-12-14,1.0034154605356351,0.9885107153170242,1.0152922543673226,1.0034154605356351,1.0034154605356351,-0.0011065352522648354,-0.0011065352522648354,-0.0011065352522648354,0.00043621143182896564,0.00043621143182896564,0.00043621143182896564,-0.001542746684093801,-0.001542746684093801,-0.001542746684093801,0.0,0.0,0.0,1.0023089252833703
2017-12-15,1.0034437240841816,0.9887175587815382,1.015168822857688,1.0034437240841816,1.0034437240841816,-0.0012710979064278014,-0.0012710979064278014,-0.0012710979064278014,0.0004079953418435358,0.0004079953418435358,0.0004079953418435358,-0.0016790932482713369,-0.0016790932482713369,-0.0016790932482713369,0.0,0.0,0.0,1.0021726261777537
2017-12-18,1.0035285147298216,0.9881975729438051,1.0148144678703521,1.0035285147298216,1.0035285147298216,-0.0015006279283249816,-0.0015006279283249816,-0.0015006279283249816,0.0004366522480597613,0.0004366522480597613,0.0004366522480597613,-0.001937280176384743,-0.001937280176384743,-0.001937280176384743,0.0,0.0,0.0,1.0020278868014967
2017-12-19,1.003556778278368,0.9875334830539906,1.0151766955568329,1.003556778278368,1.003556778278368,-0.0013021634359081384,-0.0013021634359081384,-0.0013021634359081384,0.0006646670663173027,0.0006646670663173027,0.0006646670663173027,-0.001966830502225441,-0.001966830502225441,-0.001966830502225441,0.0,0.0,0.0,1.00225461484246
2017-12-22,1.003641568924008,0.9890632577871216,1.0156743917049431,1.003641568924008,1.003641568924008,-0.0014721312867689062,-0.0014721312867689062,-0.0014721312867689062,0.00040799534184460116,0.00040799534184460116,0.00040799534184460116,-0.0018801266286135071,-0.0018801266286135071,-0.0018801266286135071,0.0,0.0,0.0,1.002169437637239
2017-12-27,1.0037828866667409,0.9896458406443983,1.0171642690642104,1.0037828866667409,1.0037828866667409,-0.0010742055089224076,-0.0010742055089224076,-0.0010742055089224076,0.00017801042192206717,0.00017801042192206717,0.00017801042192206717,-0.0012522159308444747,-0.0012522159308444747,-0.0012522159308444747,0.0,0.0,0.0,1.0027086811578185
2017-12-28,1.0038111502152876,0.9896589364705868,1.0163147762189653,1.0038111502152876,1.0038111502152876,-0.0006459063607100029,-0.0006459063607100029,-0.0006459063607100029,0.000436211431828649,0.000436211431828649,0.000436211431828649,-0.0010821177925386517,-0.0010821177925386517,-0.0010821177925386517,0.0,0.0,0.0,1.0031652438545775
2018-01-05,1.0040372586036603,0.990793403898805,1.0173871675928876,1.0040372586036603,1.0040372586036603,0.0005226875676240127,0.0005226875676240127,0.0005226875676240127,0.0004079953418432136,0.0004079953418432136,0.0004079953418432136,0.00011469222578079902,0.00011469222578079902,0.00011469222578079902,0.0,0.0,0.0,1.0045599461712844
2018-01-10,1.0041785763463933,0.9910809765358729,1.01855411770783,1.0041785763463933,1.0041785763463933,0.00039711106255864843,0.00039711106255864843,0.00039711106255864843,0.00017801042192190297,0.00017801042192190297,0.00017801042192190297,0.00021910064063674543,0.00021910064063674543,0.00021910064063674543,0.0,0.0,0.0,1.004575687408952
2018-01-12,1.0042351034434867,0.9900637662584995,1.0196598412144062,1.0042351034434867,1.0042351034434867,0.0004847843601093806,0.0004847843601093806,0.0004847843601093806,0.0004079953418424189,0.0004079953418424189,0.0004079953418424189,7.678901826696174e-05,7.678901826696174e-05,7.678901826696174e-05,0.0,0.0,0.0,1.0047198878035961
2018-01-19,1.004432948283313,0.9910485794839079,1.0177553048306955,1.004432948283313,1.004432948283313,-0.0005867805812183644,-0.0005867805812183644,-0.0005867805812183644,0.000407995341843686,0.000407995341843686,0.000407995341843686,-0.0009947759230620504,-0.0009947759230620504,-0.0009947759230620504,0.0,0.0,0.0,1.0038461677020947
