ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(자)건축사사무소 태백
2013-03-05,1.000132400310709,0.9794942979848393,1.0197205492549664,1.000132400310709,1.000132400310709,-0.0003197148990022398,-0.0003197148990022398,-0.0003197148990022398,-4.512672378581919e-05,-4.512672378581919e-05,-4.512672378581919e-05,-0.00027458817521642056,-0.00027458817521642056,-0.00027458817521642056,0.0,0.0,0.0,0.9998126854117068
2013-03-06,1.0001043861582368,0.9802846605084837,1.0189292560460566,1.0001043861582368,1.0001043861582368,-0.0003783432066836556,-0.0003783432066836556,-0.0003783432066836556,-4.823180284070003e-05,-4.823180284070003e-05,-4.823180284070003e-05,-0.00033011140384295556,-0.00033011140384295556,-0.00033011140384295556,0.0,0.0,0.0,0.9997260429515532
2013-03-07,1.0000763720057644,0.9811349204308119,1.0200174381524514,1.0000763720057644,1.0000763720057644,-0.0006198116291862242,-0.0006198116291862242,-0.0006198116291862242,-0.00024271327690333433,-0.00024271327690333433,-0.00024271327690333433,-0.00037709835228289,-0.00037709835228289,-0.00037709835228289,0.0,0.0,0.0,0.9994565603765782
2013-03-08,1.0000483578532922,0.9779977378615515,1.0180858722909105,1.0000483578532922,1.0000483578532922,-0.0017914330371028959,-0.0017914330371028959,-0.0017914330371028959,-0.0013771189775240024,-0.0013771189775240024,-0.0013771189775240024,-0.00041431405957889346,-0.00041431405957889346,-0.00041431405957889346,0.0,0.0,0.0,0.9982569248161892
2013-03-11,0.9999643153958752,0.976507953772454,1.017880371725334,0.9999643153958752,0.9999643153958752,-0.0031730304933467344,-0.0031730304933467344,-0.0031730304933467344,-0.0027149228125059894,-0.0027149228125059894,-0.0027149228125059894,-0.00045810768084074513,-0.00045810768084074513,-0.00045810768084074513,0.0,0.0,0.0,0.9967912849025284
2013-03-14,0.9998802729384582,0.9798442459649326,1.016719900534999,0.9998802729384582,0.9998802729384582,-0.0006334395469993121,-0.0006334395469993121,-0.0006334395469993121,-0.00024271327690619,-0.00024271327690619,-0.00024271327690619,-0.00039072627009312206,-0.00039072627009312206,-0.00039072627009312206,0.0,0.0,0.0,0.9992468333914588
2013-03-21,0.9996841738711519,0.980379182870524,1.0179295888089221,0.9996841738711519,0.9996841738711519,-0.00010570646170823246,-0.00010570646170823246,-0.00010570646170823246,-0.00024271327690904572,-0.00024271327690904572,-0.00024271327690904572,0.00013700681520081333,0.00013700681520081333,0.00013700681520081333,0.0,0.0,0.0,0.9995784674094437
2013-03-22,0.9996561597186795,0.9783007648492467,1.0182428605235347,0.9996561597186795,0.9996561597186795,-0.0011391316629494287,-0.0011391316629494287,-0.0011391316629494287,-0.0013771189775171105,-0.0013771189775171105,-0.0013771189775171105,0.0002379873145676818,0.0002379873145676818,0.0002379873145676818,0.0,0.0,0.0,0.9985170280557301
2013-03-26,0.9995441031087903,0.9815245795627413,1.0192701350119044,0.9995441031087903,0.9995441031087903,0.0005968969696408595,0.0005968969696408595,0.0005968969696408595,-4.5126723790460774e-05,-4.5126723790460774e-05,-4.5126723790460774e-05,0.0006420236934313203,0.0006420236934313203,0.0006420236934313203,0.0,0.0,0.0,1.0001410000784312
2013-04-02,0.9993480040414839,0.9799133019054388,1.0202498286590485,0.9993480040414839,0.9993480040414839,0.0010752958210526729,0.0010752958210526729,0.0010752958210526729,-4.512672378904941e-05,-4.512672378904941e-05,-4.512672378904941e-05,0.0011204225448417221,0.0011204225448417221,0.0011204225448417221,0.0,0.0,0.0,1.0004232998625366
