ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)케이디엔지니어링건축사사무소
2013-03-05,1.001028859360397,0.9904220489316314,1.0102095351724152,1.001028859360397,1.001028859360397,-0.001384320109616405,-0.001384320109616405,-0.001384320109616405,-0.0016540248995312176,-0.0016540248995312176,-0.0016540248995312176,0.0002697047899148128,0.0002697047899148128,0.0002697047899148128,0.0,0.0,0.0,0.9996445392507807
2013-03-06,1.0010180505477433,0.9895286389039469,1.0101319491615293,1.0010180505477433,1.0010180505477433,-0.0013004159746719181,-0.0013004159746719181,-0.0013004159746719181,-0.0017269117103098578,-0.0017269117103098578,-0.0017269117103098578,0.0004264957356379397,0.0004264957356379397,0.0004264957356379397,0.0,0.0,0.0,0.9997176345730714
2013-03-07,1.0010072417350893,0.9903690613974766,1.009144215223284,1.0010072417350893,1.0010072417350893,-0.001080696277451989,-0.001080696277451989,-0.001080696277451989,-0.0016514157764230266,-0.0016514157764230266,-0.0016514157764230266,0.0005707194989710377,0.0005707194989710377,0.0005707194989710377,0.0,0.0,0.0,0.9999265454576373
2013-03-08,1.0009964329224355,0.990341263980683,1.0096031121699078,1.0009964329224355,1.0009964329224355,-0.0010854424015363919,-0.0010854424015363919,-0.0010854424015363919,-0.0017845210856185334,-0.0017845210856185334,-0.0017845210856185334,0.0006990786840821414,0.0006990786840821414,0.0006990786840821414,0.0,0.0,0.0,0.999910990520899
2013-03-11,1.0009640064844738,0.9905298289968753,1.0095561388397938,1.0009640064844738,1.0009640064844738,-0.0007868480447603397,-0.0007868480447603397,-0.0007868480447603397,-0.0017490092806138828,-0.0017490092806138828,-0.0017490092806138828,0.0009621612358535431,0.0009621612358535431,0.0009621612358535431,0.0,0.0,0.0,1.0001771584397134
2013-03-14,1.0009315800465122,0.9905524938583213,1.0108623127216563,1.0009315800465122,1.0009315800465122,-0.0006430364928195546,-0.0006430364928195546,-0.0006430364928195546,-0.0016514157764247971,-0.0016514157764247971,-0.0016514157764247971,0.0010083792836052424,0.0010083792836052424,0.0010083792836052424,0.0,0.0,0.0,1.0002885435536926
2013-03-21,1.000855918357935,0.9897098787298555,1.0095304193807777,1.000855918357935,1.000855918357935,-0.001298028320754988,-0.001298028320754988,-0.001298028320754988,-0.0016514157764265672,-0.0016514157764265672,-0.0016514157764265672,0.00035338745567157907,0.00035338745567157907,0.00035338745567157907,0.0,0.0,0.0,0.9995578900371801
2013-03-22,1.000845109545281,0.9889515561858792,1.0093281541619796,1.000845109545281,1.000845109545281,-0.0015755962911141342,-0.0015755962911141342,-0.0015755962911141342,-0.001784521085610033,-0.001784521085610033,-0.001784521085610033,0.0002089247944958987,0.0002089247944958987,0.0002089247944958987,0.0,0.0,0.0,0.9992695132541669
2013-03-26,1.0008018742946656,0.9894994926389695,1.0085044161171342,1.0008018742946656,1.0008018742946656,-0.00200362517743172,-0.00200362517743172,-0.00200362517743172,-0.001654024899532392,-0.001654024899532392,-0.001654024899532392,-0.0003496002778993281,-0.0003496002778993281,-0.0003496002778993281,0.0,0.0,0.0,0.9987982491172339
2013-04-03,1.0007154037934347,0.9886443129944357,1.0089152139110065,1.0007154037934347,1.0007154037934347,-0.0024675666489399673,-0.0024675666489399673,-0.0024675666489399673,-0.0017269117103099131,-0.0017269117103099131,-0.0017269117103099131,-0.0007406549386300539,-0.0007406549386300539,-0.0007406549386300539,0.0,0.0,0.0,0.9982478371444947
2013-04-09,1.0006505509175114,0.9894829064263349,1.0089626705332375,1.0006505509175114,1.0006505509175114,-0.0018809487718738018,-0.0018809487718738018,-0.0018809487718738018,-0.0016540248995373513,-0.0016540248995373513,-0.0016540248995373513,-0.0002269238723364505,-0.0002269238723364505,-0.0002269238723364505,0.0,0.0,0.0,0.9987696021456376
2013-04-10,1.0006397421048574,0.9897138747696729,1.008225758538204,1.0006397421048574,1.0006397421048574,-0.001834158083259871,-0.001834158083259871,-0.001834158083259871,-0.0017269117103098659,-0.0017269117103098659,-0.0017269117103098659,-0.00010724637295000505,-0.00010724637295000505,-0.00010724637295000505,0.0,0.0,0.0,0.9988055840215976
2013-04-12,1.0006181244795498,0.9887190509315753,1.009056708774432,1.0006181244795498,1.0006181244795498,-0.001653781061307257,-0.001653781061307257,-0.001653781061307257,-0.0017845210856195207,-0.0017845210856195207,-0.0017845210856195207,0.0001307400243122636,0.0001307400243122636,0.0001307400243122636,0.0,0.0,0.0,0.9989643434182426
2013-04-18,1.0005532716036265,0.9893092695495955,1.0084137794396026,1.0005532716036265,1.0005532716036265,-0.001045707874513548,-0.001045707874513548,-0.001045707874513548,-0.0016514157764278318,-0.0016514157764278318,-0.0016514157764278318,0.0006057079019142836,0.0006057079019142836,0.0006057079019142836,0.0,0.0,0.0,0.999507563729113
2013-04-22,1.0005100363530108,0.9889737577580172,1.0086025424238114,1.0005100363530108,1.0005100363530108,-0.001178816780328558,-0.001178816780328558,-0.001178816780328558,-0.0017490092806083358,-0.0017490092806083358,-0.0017490092806083358,0.0005701925002797779,0.0005701925002797779,0.0005701925002797779,0.0,0.0,0.0,0.9993312195726822
