ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)한국종합건축사사무소
2016-01-29,0.9917140265606946,0.9827189282653104,1.0034039401718358,0.9917140265606946,0.9917140265606946,0.0012118769120086255,0.0012118769120086255,0.0012118769120086255,0.0009114508206370085,0.0009114508206370085,0.0009114508206370085,0.0003004260913716172,0.0003004260913716172,0.0003004260913716172,0.0,0.0,0.0,0.9929259034727033
2016-02-02,0.9916953274243135,0.9832281821115799,1.0037445248157766,0.9916953274243135,0.9916953274243135,0.0014500325851063863,0.0014500325851063863,0.0014500325851063863,0.0011493480661046301,0.0011493480661046301,0.0011493480661046301,0.0003006845190017562,0.0003006845190017562,0.0003006845190017562,0.0,0.0,0.0,0.9931453600094199
2016-02-03,0.9916906526402183,0.9827129682045213,1.003223458705734,0.9916906526402183,0.9916906526402183,0.0014068350109730703,0.0014068350109730703,0.0014068350109730703,0.0010805646677026902,0.0010805646677026902,0.0010805646677026902,0.0003262703432703799,0.0003262703432703799,0.0003262703432703799,0.0,0.0,0.0,0.9930974876511913
2016-02-04,0.9916859778561229,0.9817862602137741,1.0030744869971067,0.9916859778561229,0.9916859778561229,0.0008837168101896129,0.0008837168101896129,0.0008837168101896129,0.0005216538611347201,0.0005216538611347201,0.0005216538611347201,0.00036206294905489274,0.00036206294905489274,0.00036206294905489274,0.0,0.0,0.0,0.9925696946663125
2016-02-05,0.9916813030720275,0.9817666217819533,1.0033253041804466,0.9916813030720275,0.9916813030720275,0.0013191730836822379,0.0013191730836822379,0.0013191730836822379,0.0009114508206427033,0.0009114508206427033,0.0009114508206427033,0.00040772226303953466,0.00040772226303953466,0.00040772226303953466,0.0,0.0,0.0,0.9930004761557097
2016-02-11,0.9916532517067934,0.9827083286807334,1.0038809276981544,0.9916532517067934,0.9916532517067934,0.0013685944529159366,0.0013685944529159366,0.0013685944529159366,0.0005216538611340457,0.0005216538611340457,0.0005216538611340457,0.0008469405917818909,0.0008469405917818909,0.0008469405917818909,0.0,0.0,0.0,0.9930218461597093
2016-02-12,0.9916485764792544,0.9827627143008211,1.003912059566989,0.9916485764792544,0.9916485764792544,0.0018488135244869787,0.0018488135244869787,0.0018488135244869787,0.0009114508206428414,0.0009114508206428414,0.0009114508206428414,0.0009373627038441373,0.0009373627038441373,0.0009373627038441373,0.0,0.0,0.0,0.9934973900037414
2016-02-15,0.9916345507966372,0.982686022612015,1.0045799870231116,0.9916345507966372,0.9916345507966372,0.0019047676123411944,0.0019047676123411944,0.0019047676123411944,0.0006951899641002284,0.0006951899641002284,0.0006951899641002284,0.001209577648240966,0.001209577648240966,0.001209577648240966,0.0,0.0,0.0,0.9935393184089784
2016-02-16,0.9916298755690983,0.983643586729286,1.0049549808081508,0.9916298755690983,0.9916298755690983,0.002444637311540866,0.002444637311540866,0.002444637311540866,0.0011493480661061459,0.0011493480661061459,0.0011493480661061459,0.0012952892454347199,0.0012952892454347199,0.0012952892454347199,0.0,0.0,0.0,0.9940745128806392
2016-02-17,0.9916252003415592,0.9841636957935992,1.0041097609073426,0.9916252003415592,0.9916252003415592,0.00245637934205535,0.00245637934205535,0.00245637934205535,0.001080564667703349,0.001080564667703349,0.001080564667703349,0.0013758146743520013,0.0013758146743520013,0.0013758146743520013,0.0,0.0,0.0,0.9940815796836145
