ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_주식회사 아이티엠코퍼레이션건축사사무소
2013-02-26,0.9969629213426332,0.9803110652708339,1.003168017535675,0.9969629213426332,0.9969629213426332,-0.005253116918506505,-0.005253116918506505,-0.005253116918506505,-0.004551749711606138,-0.004551749711606138,-0.004551749711606138,-0.0007013672069003671,-0.0007013672069003671,-0.0007013672069003671,0.0,0.0,0.0,0.9917098044241267
2013-03-04,0.9969603581054577,0.9811228164185737,1.0035554640708146,0.9969603581054577,0.9969603581054577,-0.004857757087784684,-0.004857757087784684,-0.004857757087784684,-0.004519495929453749,-0.004519495929453749,-0.004519495929453749,-0.0003382611583309343,-0.0003382611583309343,-0.0003382611583309343,0.0,0.0,0.0,0.992102601017673
2013-03-05,0.9969599308992616,0.9810998101388485,1.003150089610437,0.9969599308992616,0.9969599308992616,-0.004801867448088284,-0.004801867448088284,-0.004801867448088284,-0.004551749711608594,-0.004551749711608594,-0.004551749711608594,-0.00025011773647969066,-0.00025011773647969066,-0.00025011773647969066,0.0,0.0,0.0,0.9921580634511733
2013-03-06,0.9969595036930657,0.9810791115170252,1.0025038346459585,0.9969595036930657,0.9969595036930657,-0.005157858764945385,-0.005157858764945385,-0.005157858764945385,-0.004997650329912126,-0.004997650329912126,-0.004997650329912126,-0.0001602084350332594,-0.0001602084350332594,-0.0001602084350332594,0.0,0.0,0.0,0.9918016449281204
2013-03-07,0.9969590764868699,0.9817435440110106,1.003544420894722,0.9969590764868699,0.9969590764868699,-0.004362672372572798,-0.004362672372572798,-0.004362672372572798,-0.004291792639830878,-0.004291792639830878,-0.004291792639830878,-7.087973274191872e-05,-7.087973274191872e-05,-7.087973274191872e-05,0.0,0.0,0.0,0.9925964041142971
2013-03-11,0.9969573676620861,0.9816228023102112,1.0032722490232193,0.9969573676620861,0.9969573676620861,-0.004280430866593516,-0.004280430866593516,-0.004280430866593516,-0.0045194959294527865,-0.0045194959294527865,-0.0045194959294527865,0.0002390650628592703,0.0002390650628592703,0.0002390650628592703,0.0,0.0,0.0,0.9926769367954926
2013-03-14,0.9969560860434984,0.9817549110417225,1.0039037022016095,0.9969560860434984,0.9969560860434984,-0.003911852975284756,-0.003911852975284756,-0.003911852975284756,-0.004291792639835169,-0.004291792639835169,-0.004291792639835169,0.00037993966455041354,0.00037993966455041354,0.00037993966455041354,0.0,0.0,0.0,0.9930442330682137
2013-03-22,0.9969526683939308,0.9814015368867138,1.0036613308377438,0.9969526683939308,0.9969526683939308,-0.0039833973410661255,-0.0039833973410661255,-0.0039833973410661255,-0.004326628845763802,-0.004326628845763802,-0.004326628845763802,0.00034323150469767617,0.00034323150469767617,0.00034323150469767617,0.0,0.0,0.0,0.9929692710528647
2013-03-26,0.9969509595691471,0.981421777973665,1.0043484998579522,0.9969509595691471,0.9969509595691471,-0.004301454993311268,-0.004301454993311268,-0.004301454993311268,-0.004551749711610933,-0.004551749711610933,-0.004551749711610933,0.0002502947182996644,0.0002502947182996644,0.0002502947182996644,0.0,0.0,0.0,0.9926495045758359
2013-04-02,0.9969479691257757,0.9819113280490614,1.004022976114598,0.9969479691257757,0.9969479691257757,-0.004203871130336136,-0.004203871130336136,-0.004203871130336136,-0.00455174971161339,-0.00455174971161339,-0.00455174971161339,0.00034787858127725303,0.00034787858127725303,0.00034787858127725303,0.0,0.0,0.0,0.9927440979954395
2013-04-03,0.9969475419195798,0.9807567018329643,1.003666271972813,0.9969475419195798,0.9969475419195798,-0.00459860484694587,-0.00459860484694587,-0.00459860484694587,-0.004997650329912262,-0.004997650329912262,-0.004997650329912262,0.00039904548296639035,0.00039904548296639035,0.00039904548296639035,0.0,0.0,0.0,0.9923489370726339
2013-04-09,0.9969449786824042,0.982533000119469,1.004708739925762,0.9969449786824042,0.9969449786824042,-0.0037275062355276037,-0.0037275062355276037,-0.0037275062355276037,-0.004551749711623497,-0.004551749711623497,-0.004551749711623497,0.0008242434760958939,0.0008242434760958939,0.0008242434760958939,0.0,0.0,0.0,0.9932174724468765
2013-04-10,0.9969445514762082,0.9820935670842167,1.0041819432461627,0.9969445514762082,0.9969445514762082,-0.004099258276453359,-0.004099258276453359,-0.004099258276453359,-0.0049976503299121846,-0.0049976503299121846,-0.0049976503299121846,0.0008983920534588253,0.0008983920534588253,0.0008983920534588253,0.0,0.0,0.0,0.9928452931997548
2013-04-12,0.9969436970638164,0.9829967351385899,1.0046649252038817,0.9969436970638164,0.9969436970638164,-0.0032954223801890193,-0.0032954223801890193,-0.0032954223801890193,-0.004326628845788754,-0.004326628845788754,-0.004326628845788754,0.0010312064655997354,0.0010312064655997354,0.0010312064655997354,0.0,0.0,0.0,0.9936482746836274
2013-04-18,0.9969411338266407,0.9817829253750556,1.004746311429796,0.9969411338266407,0.9969411338266407,-0.003112538205694142,-0.003112538205694142,-0.003112538205694142,-0.0042917926398422235,-0.0042917926398422235,-0.0042917926398422235,0.0011792544341480817,0.0011792544341480817,0.0011792544341480817,0.0,0.0,0.0,0.9938285956209466
2013-04-19,0.9969407066204449,0.9818417415184832,1.0048670766900347,0.9969407066204449,0.9969407066204449,-0.0031714182577128286,-0.0031714182577128286,-0.0031714182577128286,-0.004326628845800638,-0.004326628845800638,-0.004326628845800638,0.0011552105880878092,0.0011552105880878092,0.0011552105880878092,0.0,0.0,0.0,0.993769288362732
2013-04-22,0.9969394250018571,0.983160674273909,1.0047765456093405,0.9969394250018571,0.9969394250018571,-0.003523891810804766,-0.003523891810804766,-0.003523891810804766,-0.004519495929437991,-0.004519495929437991,-0.004519495929437991,0.0009956041186332254,0.0009956041186332254,0.0009956041186332254,0.0,0.0,0.0,0.9934155331910522
2013-04-23,0.9969389977956611,0.9824257535090355,1.0048977012936953,0.9969389977956611,0.9969389977956611,-0.003635949363742296,-0.003635949363742296,-0.003635949363742296,-0.004551749711614853,-0.004551749711614853,-0.004551749711614853,0.0009158003478725574,0.0009158003478725574,0.0009158003478725574,0.0,0.0,0.0,0.9933030484319187
2013-04-24,0.9969385705894652,0.9806601270460584,1.0040299082235082,0.9969385705894652,0.9969385705894652,-0.004172864874355645,-0.004172864874355645,-0.004172864874355645,-0.004997650329911874,-0.004997650329911874,-0.004997650329911874,0.000824785455556228,0.000824785455556228,0.000824785455556228,0.0,0.0,0.0,0.9927657057151096
2013-04-26,0.9969377161770733,0.9826818604372213,1.0033335321643064,0.9969377161770733,0.9969377161770733,-0.0037105762413541434,-0.0037105762413541434,-0.0037105762413541434,-0.004326628845789433,-0.004326628845789433,-0.004326628845789433,0.0006160526044352892,0.0006160526044352892,0.0006160526044352892,0.0,0.0,0.0,0.9932271399357191
2013-04-30,0.9969360073522895,0.9810766712600154,1.0037905609444193,0.9969360073522895,0.9969360073522895,-0.004401709433658199,-0.004401709433658199,-0.004401709433658199,-0.0045517497116181835,-0.0045517497116181835,-0.0045517497116181835,0.00015004027795998548,0.00015004027795998548,0.00015004027795998548,0.0,0.0,0.0,0.9925342979186312
2013-05-01,0.9969355801460936,0.9815136713626539,1.0025522013916575,0.9969355801460936,0.9969355801460936,-0.004961181791840835,-0.004961181791840835,-0.004961181791840835,-0.004997650329912098,-0.004997650329912098,-0.004997650329912098,3.646853807126184e-05,3.646853807126184e-05,3.646853807126184e-05,0.0,0.0,0.0,0.9919743983542528
2013-05-02,0.9969351529398978,0.9807713525519343,1.003559023590034,0.9969351529398978,0.9969351529398978,-0.004363342623683957,-0.004363342623683957,-0.004363342623683957,-0.004291792639836409,-0.004291792639836409,-0.004291792639836409,-7.154998384754831e-05,-7.154998384754831e-05,-7.154998384754831e-05,0.0,0.0,0.0,0.9925718103162138
