ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)한림이앤씨건축사사무소
2018-09-05,1.001871648053428,0.9826754884851535,1.0122807272392913,1.001871648053428,1.001871648053428,-0.004108625164832132,-0.004108625164832132,-0.004108625164832132,-0.0039010285693578542,-0.0039010285693578542,-0.0039010285693578542,-0.00020759659547427787,-0.00020759659547427787,-0.00020759659547427787,0.0,0.0,0.0,0.9977630228885959
2018-09-06,1.001870453642365,0.9847907708198963,1.0124507567432504,1.001870453642365,1.001870453642365,-0.003460509211328836,-0.003460509211328836,-0.003460509211328836,-0.0032836336078322192,-0.0032836336078322192,-0.0032836336078322192,-0.00017687560349661613,-0.00017687560349661613,-0.00017687560349661613,0.0,0.0,0.0,0.9984099444310363
2018-09-12,1.0018632871759878,0.9830380302996593,1.0115950099176971,1.0018632871759878,1.0018632871759878,-0.003988740056852356,-0.003988740056852356,-0.003988740056852356,-0.003901028569357704,-0.003901028569357704,-0.003901028569357704,-8.77114874946524e-05,-8.77114874946524e-05,-8.77114874946524e-05,0.0,0.0,0.0,0.9978745471191355
2018-09-14,1.001860898353862,0.9852644864491308,1.011822718893067,1.001860898353862,1.001860898353862,-0.003528816932869869,-0.003528816932869869,-0.003528816932869869,-0.0034450548378020356,-0.0034450548378020356,-0.0034450548378020356,-8.376209506783367e-05,-8.376209506783367e-05,-8.376209506783367e-05,0.0,0.0,0.0,0.9983320814209921
2018-09-17,1.001857315120673,0.9838072556821492,1.011049718002355,1.001857315120673,1.001857315120673,-0.003922315674841767,-0.003922315674841767,-0.003922315674841767,-0.0038398309697196087,-0.0038398309697196087,-0.0038398309697196087,-8.248470512215818e-05,-8.248470512215818e-05,-8.248470512215818e-05,0.0,0.0,0.0,0.9979349994458313
2018-09-20,1.0018537318874845,0.9835343958360148,1.0133597833922028,1.0018537318874845,1.0018537318874845,-0.0033531818083122745,-0.0033531818083122745,-0.0033531818083122745,-0.0032836336078273316,-0.0032836336078273316,-0.0032836336078273316,-6.954820048494271e-05,-6.954820048494271e-05,-6.954820048494271e-05,0.0,0.0,0.0,0.9985005500791723
2018-09-21,1.0018525374764216,0.9845522342966151,1.0114104633029684,1.0018525374764216,1.0018525374764216,-0.003505252310517903,-0.003505252310517903,-0.003505252310517903,-0.003445054837803846,-0.003445054837803846,-0.003445054837803846,-6.019747271405713e-05,-6.019747271405713e-05,-6.019747271405713e-05,0.0,0.0,0.0,0.9983472851659037
2018-09-27,1.0018453710100441,0.9847782369211788,1.0124205302846518,1.0018453710100441,1.0018453710100441,-0.0032313297209267747,-0.0032313297209267747,-0.0032313297209267747,-0.0032836336078245877,-0.0032836336078245877,-0.0032836336078245877,5.2303886897812885e-05,5.2303886897812885e-05,5.2303886897812885e-05,0.0,0.0,0.0,0.9986140412891173
2018-10-01,1.0018405933657926,0.9846044710898237,1.0119756388664096,1.0018405933657926,1.0018405933657926,-0.003696828650687191,-0.003696828650687191,-0.003696828650687191,-0.0038398309697192847,-0.0038398309697192847,-0.0038398309697192847,0.0001430023190320937,0.0001430023190320937,0.0001430023190320937,0.0,0.0,0.0,0.9981437647151054
2018-10-02,1.0018393989547296,0.9848214696997726,1.0124053292702588,1.0018393989547296,1.0018393989547296,-0.0031110618116708313,-0.0031110618116708313,-0.0031110618116708313,-0.0032703801978180395,-0.0032703801978180395,-0.0032703801978180395,0.00015931838614720854,0.00015931838614720854,0.00015931838614720854,0.0,0.0,0.0,0.9987283371430588
