ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)토문엔지니어링 건축사사무소
2019-03-25,0.9929778686691095,0.9883754654817929,0.9986010494421951,0.9929778686691095,0.9929778686691095,0.0005743461538756696,0.0005743461538756696,0.0005743461538756696,0.0004278845355621027,0.0004278845355621027,0.0004278845355621027,0.00014646161831356684,0.00014646161831356684,0.00014646161831356684,0.0,0.0,0.0,0.9935522148229852
2019-03-27,0.9929892007203089,0.9891896957933277,0.999384997116046,0.9929892007203089,0.9929892007203089,0.0012763066864716094,0.0012763066864716094,0.0012763066864716094,0.0010757756792067258,0.0010757756792067258,0.0010757756792067258,0.00020053100726488365,0.00020053100726488365,0.00020053100726488365,0.0,0.0,0.0,0.9942655074067805
2019-03-28,0.9929948667459086,0.9887837397435029,0.9990753700329486,0.9929948667459086,0.9929948667459086,0.0009550063882130848,0.0009550063882130848,0.0009550063882130848,0.0007377056804501663,0.0007377056804501663,0.0007377056804501663,0.00021730070776291853,0.00021730070776291853,0.00021730070776291853,0.0,0.0,0.0,0.9939498731341218
2019-04-01,0.9930175308483075,0.988308857949049,0.9988663343137556,0.9930175308483075,0.9930175308483075,0.0006335658575772565,0.0006335658575772565,0.0006335658575772565,0.00042788453555356944,0.00042788453555356944,0.00042788453555356944,0.00020568132202368705,0.00020568132202368705,0.00020568132202368705,0.0,0.0,0.0,0.9936510967058847
2019-04-02,0.9930231968739072,0.9890682932010206,0.9986980972054194,0.9930231968739072,0.9930231968739072,0.0009454223103494831,0.0009454223103494831,0.0009454223103494831,0.0007626119491229191,0.0007626119491229191,0.0007626119491229191,0.00018281036122656403,0.00018281036122656403,0.00018281036122656403,0.0,0.0,0.0,0.9939686191842566
2019-04-03,0.9930288628995069,0.9891588923938763,0.9988979617641084,0.9930288628995069,0.9930288628995069,0.001228331867320744,0.001228331867320744,0.001228331867320744,0.0010757756792062266,0.0010757756792062266,0.0010757756792062266,0.0001525561881145174,0.0001525561881145174,0.0001525561881145174,0.0,0.0,0.0,0.9942571947668276
2019-04-04,0.9930345289251066,0.988779593220368,0.9987952950569323,0.9930345289251066,0.9930345289251066,0.0008532843702388709,0.0008532843702388709,0.0008532843702388709,0.0007377056804506163,0.0007377056804506163,0.0007377056804506163,0.00011557868978825462,0.00011557868978825462,0.00011557868978825462,0.0,0.0,0.0,0.9938878132953455
2019-04-05,0.9930401949507063,0.9888501486737404,0.9991876883524125,0.9930401949507063,0.9930401949507063,0.00088038600195119,0.00088038600195119,0.00088038600195119,0.000807657717237227,0.000807657717237227,0.000807657717237227,7.272828471396302e-05,7.272828471396302e-05,7.272828471396302e-05,0.0,0.0,0.0,0.9939205809526575
2019-04-10,0.9930685250787047,0.9893652190201805,0.9992873851001394,0.9930685250787047,0.9930685250787047,0.0008867260932647253,0.0008867260932647253,0.0008867260932647253,0.0010757756792063673,0.0010757756792063673,0.0010757756792063673,-0.000189049585941642,-0.000189049585941642,-0.000189049585941642,0.0,0.0,0.0,0.9939552511719694
2019-04-11,0.9930741911043044,0.9885869392280358,0.9985263418852797,0.9930741911043044,0.9930741911043044,0.0004963813342680803,0.0004963813342680803,0.0004963813342680803,0.0007377056804510659,0.0007377056804510659,0.0007377056804510659,-0.0002413243461829856,-0.0002413243461829856,-0.0002413243461829856,0.0,0.0,0.0,0.9935705724385725
