ActCode,NoticeDate,발주청,시도,G2B공고번호,공고일연,공고일월,공고일일,공고일요일(개선),BidOpenDateTime,입찰일연,입찰일월,입찰일일,입찰일요일,연면적,대지면적,예가율,예정가격,세대수,기초금액,최신_1순위,낙찰하한율,참여업체수,중간값
HousingAct,2022-05-06,경상남도 김해시,경상남도 ,20220507234,2022,5,6,금,2022. 5. 18,2022,5,18,수,"42,793","11,923",1.005785,,253,"1,208,214,332.00",1.0059548,0.8495,64,1.005870
HousingAct,2022-05-04,제주특별자치도 서귀포시,제주특별자치도 ,20220501939,2022,5,4,수,2022. 5. 17,2022,5,17,화,"117,617","86,006",0.998983,,503,"4,287,005,309.00",0.9991012,0.8045,84,0.999042
HousingAct,2022-05-04,제주특별자치도 서귀포시,제주특별자치도 ,20220501895,2022,5,4,수,2022. 5. 17,2022,5,17,화,"6,977","9,832",1.000943,,75,"323,618,867.00",1.0030401,0.8495,6,1.001991
HousingAct,2022-04-29,부산광역시 남구,부산광역시 ,20220447974,2022,4,29,금,2022. 5. 17,2022,5,17,화,"695,221","182,074",0.998863,,4488,"16,441,212,518.00",1.00047,0.7295,21,0.999666
HousingAct,2022-05-09,서울특별시 광진구,서울특별시 ,20220510136,2022,5,9,월,2022. 5. 17,2022,5,17,화,"30,276","2,237",1.014440,,480,"1,211,910,976.00",1.0170916,0.8295,51,1.015766
HousingAct,2022-05-06,대구광역시 수성구,대구광역시 ,20220506866,2022,5,6,금,2022. 5. 17,2022,5,17,화,"63,065","26,225",1.009033,,490,"2,681,542,340.00",1.0092421,0.8295,89,1.009137
HousingAct,2022-05-03,강원도 속초시,강원도 ,20220503090,2022,5,3,화,2022. 5. 16,2022,5,16,월,"38,291","45,772",1.006460,,228,"1,377,070,560.00",1.00665,0.8495,66,1.006555
HousingAct,2022-05-02,경상남도 사천시,경상남도 ,20220501672,2022,5,2,월,2022. 5. 13,2022,5,13,금,"173,645","51,424",0.995968,,1051,"4,127,200,290.00",0.9962792,0.7295,60,0.996123
HousingAct,2022-05-02,인천광역시 미추홀구,인천광역시 ,20220501193,2022,5,2,월,2022. 5. 12,2022,5,12,목,"73,951","20,667",0.999258,,562,"1,979,897,866.00",0.99955,0.8045,76,0.999404
HousingAct,2022-05-03,서울특별시 서초구,서울특별시 ,20220502989,2022,5,3,화,2022. 5. 12,2022,5,12,목,"220,557","50,662",0.987848,,1097,"6,935,206,000.00",0.9886226,0.7295,62,0.988235
HousingAct,2022-05-03,서울특별시 서초구,서울특별시 ,20220502947,2022,5,3,화,2022. 5. 12,2022,5,12,목,"27,437","5,918",1.000848,,178,"1,041,835,000.00",1.0017425,0.8495,56,1.001295
HousingAct,2022-04-27,경상북도 구미시,경상북도 ,20220443468,2022,4,27,수,2022. 5. 11,2022,5,11,수,"102,514","26,305",0.989740,,756,"2,585,193,962.00",0.9900521,0.8045,80,0.989896
HousingAct,2022-04-29,충청남도 천안시,충청남도 ,20220447698,2022,4,29,금,2022. 5. 11,2022,5,11,수,"99,309","26,938",1.004400,,584,"2,571,545,320.00",1.0045175,0.8045,75,1.004459
HousingAct,2022-04-27,충청북도 음성군,충청북도 ,20220443586,2022,4,27,수,2022. 5. 10,2022,5,10,화,"110,918","34,625",0.994648,,644,"2,727,728,079.00",0.9949567,0.8045,81,0.994802
HousingAct,2022-04-27,울산광역시 남구,울산광역시 ,20220445072,2022,4,27,수,2022. 5. 10,2022,5,10,화,"53,650","8,693",0.987188,,329,"1,471,213,550.00",0.9873918,0.8295,61,0.987290
HousingAct,2022-04-27,경상북도 구미시,경상북도 ,20220443441,2022,4,27,수,2022. 5. 10,2022,5,10,화,"148,842","40,386",0.997588,,907,"3,752,125,896.00",0.9977485,0.8045,78,0.997668
HousingAct,2022-04-28,경기도 파주시,경기도 ,20220445724,2022,4,28,목,2022. 5. 10,2022,5,10,화,"83,934","30,469",0.999223,,518,"1,821,105,000.00",0.9992367,0.8045,70,0.999230
HousingAct,2022-04-27,대전광역시 동구,대전광역시 ,20220443649,2022,4,27,수,2022. 5. 9,2022,5,9,월,"31,134","9,377",0.998175,,224,"783,268,662.00",0.9983961,0.8495,23,0.998286
HousingAct,2022-04-25,경상북도 포항시,경상북도 ,20220440411,2022,4,25,월,2022. 5. 6,2022,5,6,금,"323,468","94,460",0.995238,,1668,"7,524,695,000.00",0.99564,0.7295,57,0.995439
HousingAct,2022-04-21,서울특별시 성북구,서울특별시 ,20220431425,2022,4,21,목,2022. 5. 6,2022,5,6,금,"21,396","1,393",1.010900,,415,"816,263,041.00",1.0177681,0.8295,8,1.014334
HousingAct,2022-04-25,경기도 오산시,경기도 ,20220438592,2022,4,25,월,2022. 5. 6,2022,5,6,금,"72,271","25,317",0.991970,,414,"1,329,958,270.00",0.9920881,0.8295,59,0.992029
HousingAct,2022-04-21,경상남도 사천시,경상남도 ,20220434673,2022,4,21,목,2022. 5. 4,2022,5,4,수,"146,277","13,459",1.009860,,677,"3,603,965,650.00",1.0098675,0.8045,85,1.009864
HousingAct,2022-04-21,강원도 원주시,강원도 ,20220433123,2022,4,21,목,2022. 5. 2,2022,5,2,월,"171,493","51,221",1.007160,,1167,"4,050,291,110.00",1.0081503,0.7295,63,1.007655
HousingAct,2022-04-20,경기도 평택시,경기도 ,20220432790,2022,4,20,수,2022. 5. 2,2022,5,2,월,"144,370","43,211",0.992153,,916,"3,535,334,990.00",0.9922997,0.8045,75,0.992226
HousingAct,2022-04-20,충청북도 충북경제자유구역청,충청북도 ,20220431562,2022,4,20,수,2022. 4. 29,2022,4,29,금,"260,688","95,701",1.015745,,1113,"4,989,085,958.00",1.016997,0.7295,61,1.016371
HousingAct,2022-04-19,부산광역시,부산광역시,20220429304,2022,4,19,화,2022. 4. 29,2022,4,29,금,"186,875","82,741",0.996595,,1120,"3,667,498,622.00",0.9971955,0.7295,56,0.996895
HousingAct,2022-04-20,광주광역시 광산구,광주광역시 ,20220432570,2022,4,20,수,2022. 4. 29,2022,4,29,금,"51,030","23,477",1.003935,,304,"1,394,681,614.00",1.004007,0.8295,56,1.003971
HousingAct,2022-04-20,경상북도 경산시,경상북도 ,20220432022,2022,4,20,수,2022. 4. 29,2022,4,29,금,"128,885","31,812",1.002570,,745,"2,496,314,155.00",1.0027572,0.8045,84,1.002664
HousingAct,2022-04-19,서울특별시 서초구,서울특별시 ,20220429317,2022,4,19,화,2022. 4. 28,2022,4,28,목,"4,346","1,082",0.991265,,34,"194,444,000.00",0.996648,0.8495,2,0.993957
HousingAct,2022-04-14,대전광역시 중구,대전광역시 ,20220423468,2022,4,14,목,2022. 4. 27,2022,4,27,수,"123,497","36,096",0.992340,,808,"2,828,824,239.00",0.9923855,0.8045,73,0.992363
HousingAct,2022-04-20,경기도 파주시,경기도 ,20220431845,2022,4,20,수,2022. 4. 27,2022,4,27,수,"155,370","38,990",0.990703,,1213,"3,267,792,000.00",0.9919801,0.7295,54,0.991341
HousingAct,2022-04-15,경상북도 포항시,경상북도 ,20220425234,2022,4,15,금,2022. 4. 27,2022,4,27,수,"211,166","57,548",1.007165,,999,"4,527,204,000.00",1.0072829,0.8045,77,1.007224
HousingAct,2022-04-15,충청북도 옥천군,충청북도 ,20220424022,2022,4,15,금,2022. 4. 26,2022,4,26,화,"76,807","24,513",0.996298,,499,"2,023,031,010.00",0.996717,0.8295,82,0.996507
HousingAct,2022-04-13,부산광역시 사상구,부산광역시 ,20220420936,2022,4,13,수,2022. 4. 25,2022,4,25,월,"4,300","18,093",0.994280,,120,"605,910,049.00",0.9959384,0.8495,13,0.995109
HousingAct,2022-04-14,강원도 원주시,강원도 ,20220420681,2022,4,14,목,2022. 4. 25,2022,4,25,월,"212,451","64,892",1.007735,,997,"4,987,333,177.00",1.008168,0.8045,79,1.007952
HousingAct,2022-04-12,인천광역시 서구,인천광역시 ,20220416345,2022,4,12,화,2022. 4. 22,2022,4,22,금,"116,931","35,842",0.994835,,736,"2,977,596,447.00",0.9949103,0.8045,88,0.994873
HousingAct,2022-04-12,경기도 평택시,경기도 ,20220417848,2022,4,12,화,2022. 4. 22,2022,4,22,금,"168,566","51,378",0.995200,,1063,"4,277,005,340.00",0.995266,0.7295,60,0.995233
HousingAct,2022-04-14,제주특별자치도 제주시,제주특별자치도 ,20220421720,2022,4,14,목,2022. 4. 21,2022,4,21,목,"13,776","22,469",0.991903,,134,"604,943,600.00",0.9933769,0.8495,21,0.992640
HousingAct,2022-04-12,경상북도 칠곡군,경상북도 ,20220417658,2022,4,12,화,2022. 4. 21,2022,4,21,목,"58,145","16,627",1.001458,,352,"1,515,667,691.00",1.0017273,0.8295,67,1.001592
HousingAct,2022-04-08,경기도 파주시,경기도 ,20220411804,2022,4,8,금,2022. 4. 19,2022,4,19,화,"170,707","61,920",1.004070,,1057,"4,278,520,000.00",1.0040999,0.7295,58,1.004085
HousingAct,2022-04-08,경기도 오산시,경기도 ,20220411565,2022,4,8,금,2022. 4. 19,2022,4,19,화,"147,287","54,549",1.006033,,844,"3,625,609,769.00",1.0070803,0.8045,79,1.006556
