,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)케이디엔지니어링건축사사무소,y
143,2022-01-25,0.9974643267217099,0.987521909354106,1.0091220349833498,0.9974643267217099,0.9974643267217099,0.0014429775273887798,0.0014429775273887798,0.0014429775273887798,0.0014429775273887798,0.0014429775273887798,0.0014429775273887798,0.0,0.0,0.0,0.9989073042490987,0.9961675
144,2022-01-27,0.9974668057281241,0.9877741835130565,1.0090038120217097,0.9974668057281241,0.9974668057281241,0.0005914059584840273,0.0005914059584840273,0.0005914059584840273,0.0005914059584840273,0.0005914059584840273,0.0005914059584840273,0.0,0.0,0.0,0.9980582116866081,0.9962236
145,2022-01-28,0.9974680452313311,0.9868737842293342,1.0081644676462174,0.9974680452313311,0.9974680452313311,0.0007835857141674231,0.0007835857141674231,0.0007835857141674231,0.0007835857141674231,0.0007835857141674231,0.0007835857141674231,0.0,0.0,0.0,0.9982516309454986,1.005618
146,2022-02-04,0.9974767217537808,0.9881299107637989,1.0085558149262617,0.9974767217537808,0.9974767217537808,0.0007835857141684253,0.0007835857141684253,0.0007835857141684253,0.0007835857141684253,0.0007835857141684253,0.0007835857141684253,0.0,0.0,0.0,0.9982603074679492,1.005715
147,2022-02-07,0.997480440263402,0.9866194492167053,1.0079741287582569,0.997480440263402,0.997480440263402,-0.00010828041948781325,-0.00010828041948781325,-0.00010828041948781325,-0.00010828041948781325,-0.00010828041948781325,-0.00010828041948781325,0.0,0.0,0.0,0.9973721598439141,0.9946281
148,2022-02-08,0.9974816797666091,0.9885930818598523,1.009460848401163,0.9974816797666091,0.9974816797666091,0.0014429775273887134,0.0014429775273887134,0.0014429775273887134,0.0014429775273887134,0.0014429775273887134,0.0014429775273887134,0.0,0.0,0.0,0.9989246572939978,1.0054773
149,2022-02-10,0.9974841587730233,0.9870455867370659,1.008654440721524,0.9974841587730233,0.9974841587730233,0.0005914059584833409,0.0005914059584833409,0.0005914059584833409,0.0005914059584833409,0.0005914059584833409,0.0005914059584833409,0.0,0.0,0.0,0.9980755647315067,0.9945488
150,2022-02-11,0.9974853982762303,0.9879912856381847,1.008808087268208,0.9974853982762303,0.9974853982762303,0.0007835857141711038,0.0007835857141711038,0.0007835857141711038,0.0007835857141711038,0.0007835857141711038,0.0007835857141711038,0.0,0.0,0.0,0.9982689839904014,0.9943784
151,2022-02-14,0.9974891168566824,0.9873482897068575,1.007851927324747,0.9974891168566824,0.9974891168566824,-0.000108280419486305,-0.000108280419486305,-0.000108280419486305,-0.000108280419486305,-0.000108280419486305,-0.000108280419486305,0.0,0.0,0.0,0.9973808364371961,0.9942751
152,2022-02-15,0.9974903563834998,0.9886201538431583,1.0089220928097233,0.9974903563834998,0.9974903563834998,0.0014429775273901036,0.0014429775273901036,0.0014429775273901036,0.0014429775273901036,0.0014429775273901036,0.0014429775273901036,0.0,0.0,0.0,0.9989333339108899,0.9945469
