,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)토문엔지니어링 건축사사무소,y
235,2022-08-04,0.9932434803476564,0.9903807129406945,0.9966601510737569,0.9930754833169666,0.9934093004926485,0.00010559859572263558,0.00010559859572263558,0.00010559859572263558,0.00010559859572263558,0.00010559859572263558,0.00010559859572263558,0.0,0.0,0.0,0.9933490789433791,
236,2022-08-05,0.9932466167752271,0.9905263336111033,0.9968958854898097,0.9930578608798486,0.9934276384317041,0.0003208331194530615,0.0003208331194530615,0.0003208331194530615,0.0003208331194530615,0.0003208331194530615,0.0003208331194530615,0.0,0.0,0.0,0.9935674498946802,
237,2022-08-06,0.9932497532027977,0.9892676672900025,0.9959360013538076,0.9930401336069182,0.9934474248370715,-0.0005483399062149685,-0.0005483399062149685,-0.0005483399062149685,-0.0005483399062149685,-0.0005483399062149685,-0.0005483399062149685,0.0,0.0,0.0,0.9927014132965828,
238,2022-08-07,0.9932528896303684,0.9894236530449086,0.9957966417436579,0.9930152726630126,0.9934954947800595,-0.0005483397890086757,-0.0005483397890086757,-0.0005483397890086757,-0.0005483397890086757,-0.0005483397890086757,-0.0005483397890086757,0.0,0.0,0.0,0.9927045498413597,
239,2022-08-08,0.9932560260579391,0.9900873338484651,0.996644879993712,0.9929920034325106,0.9935170089927301,0.00011128862455226447,0.00011128862455226447,0.00011128862455226447,0.00011128862455226447,0.00011128862455226447,0.00011128862455226447,0.0,0.0,0.0,0.9933673146824913,
240,2022-08-09,0.9932591624855097,0.9908291939930939,0.9972317727022117,0.9929729870391155,0.9935498725650892,0.0007112424918145866,0.0007112424918145866,0.0007112424918145866,0.0007112424918145866,0.0007112424918145866,0.0007112424918145866,0.0,0.0,0.0,0.9939704049773243,
241,2022-08-10,0.9932622989130804,0.9899496804856642,0.9961776996531777,0.9929492203982189,0.9935752636855337,-0.00015228313631679137,-0.00015228313631679137,-0.00015228313631679137,-0.00015228313631679137,-0.00015228313631679137,-0.00015228313631679137,0.0,0.0,0.0,0.9931100157767636,
242,2022-08-11,0.993265435340651,0.9902378356830664,0.9965070338504093,0.992926865189864,0.9936050154653212,0.00010559859572387289,0.00010559859572387289,0.00010559859572387289,0.00010559859572387289,0.00010559859572387289,0.00010559859572387289,0.0,0.0,0.0,0.9933710339363749,
243,2022-08-12,0.9932685717682217,0.9905036314325363,0.996882647418732,0.9929026146765747,0.9936354663281033,0.00032083311945314304,0.00032083311945314304,0.00032083311945314304,0.00032083311945314304,0.00032083311945314304,0.00032083311945314304,0.0,0.0,0.0,0.9935894048876749,
244,2022-08-13,0.9932717081957925,0.989445666839794,0.995914904021546,0.9928820525024254,0.9936588783359631,-0.0005483399062158185,-0.0005483399062158185,-0.0005483399062158185,-0.0005483399062158185,-0.0005483399062158185,-0.0005483399062158185,0.0,0.0,0.0,0.9927233682895766,
245,2022-08-14,0.993274844623363,0.98933350437369,0.9962389290721448,0.9928637543440794,0.9936821896138889,-0.0005483397890087069,-0.0005483397890087069,-0.0005483397890087069,-0.0005483397890087069,-0.0005483397890087069,-0.0005483397890087069,0.0,0.0,0.0,0.9927265048343543,
246,2022-08-15,0.9932779810509337,0.9903406897961464,0.9963615516072198,0.9928354110273738,0.9937052871130646,0.00011128862455301119,0.00011128862455301119,0.00011128862455301119,0.00011128862455301119,0.00011128862455301119,0.00011128862455301119,0.0,0.0,0.0,0.9933892696754867,
247,2022-08-16,0.9932811174785043,0.9908141688669486,0.9968962828218972,0.9928026598443864,0.9937283846122401,0.0007112424918141738,0.0007112424918141738,0.0007112424918141738,0.0007112424918141738,0.0007112424918141738,0.0007112424918141738,0.0,0.0,0.0,0.9939923599703185,
248,2022-08-17,0.9932842539060751,0.9897920727928925,0.9964772821606799,0.9927824075190441,0.9937522186392361,-0.00015228313631778436,-0.00015228313631778436,-0.00015228313631778436,-0.00015228313631778436,-0.00015228313631778436,-0.00015228313631778436,0.0,0.0,0.0,0.9931319707697573,
249,2022-08-18,0.9932873903336457,0.9902665640325605,0.9967515445534552,0.9927660051764605,0.9937884102517112,0.00010559859572199548,0.00010559859572199548,0.00010559859572199548,0.00010559859572199548,0.00010559859572199548,0.00010559859572199548,0.0,0.0,0.0,0.9933929889293677,
250,2022-08-19,0.9932905267612163,0.9903312800281779,0.9967176474154381,0.9927404452932928,0.9938179728332213,0.0003208331194543525,0.0003208331194543525,0.0003208331194543525,0.0003208331194543525,0.0003208331194543525,0.0003208331194543525,0.0,0.0,0.0,0.9936113598806706,
251,2022-08-20,0.993293663188787,0.9894205625499576,0.9958202459833676,0.9926942015303738,0.9938407626259272,-0.0005483399062157116,-0.0005483399062157116,-0.0005483399062157116,-0.0005483399062157116,-0.0005483399062157116,-0.0005483399062157116,0.0,0.0,0.0,0.9927453232825713,
252,2022-08-21,0.9932967996163578,0.9894803830047785,0.9960438111962253,0.9926756664681117,0.9938843890802005,-0.0005483397890076137,-0.0005483397890076137,-0.0005483397890076137,-0.0005483397890076137,-0.0005483397890076137,-0.0005483397890076137,0.0,0.0,0.0,0.9927484598273502,
253,2022-08-22,0.9932999360439283,0.9899276003589793,0.9965966350806621,0.9926570869484225,0.9939339291406145,0.00011128862454988446,0.00011128862454988446,0.00011128862454988446,0.00011128862454988446,0.00011128862454988446,0.00011128862454988446,0.0,0.0,0.0,0.9934112246684782,
254,2022-08-23,0.993303072471499,0.9905765693147998,0.9972994562290827,0.9926203531967853,0.9939778049106863,0.000711242491815457,0.000711242491815457,0.000711242491815457,0.000711242491815457,0.000711242491815457,0.000711242491815457,0.0,0.0,0.0,0.9940143149633144,
255,2022-08-24,0.9933062088990697,0.9900579010965969,0.9965010694793669,0.9925824326954058,0.9940159885303869,-0.00015228313631789043,-0.00015228313631789043,-0.00015228313631789043,-0.00015228313631789043,-0.00015228313631789043,-0.00015228313631789043,0.0,0.0,0.0,0.9931539257627519,
256,2022-08-25,0.9933093453266404,0.9899254298463919,0.9968281724256036,0.9925614115507088,0.9940541721500872,0.00010559859572209573,0.00010559859572209573,0.00010559859572209573,0.00010559859572209573,0.00010559859572209573,0.00010559859572209573,0.0,0.0,0.0,0.9934149439223625,
257,2022-08-26,0.993312481754211,0.9905086113736045,0.996847783577562,0.9925457595394577,0.9940919898162546,0.0003208331194532377,0.0003208331194532377,0.0003208331194532377,0.0003208331194532377,0.0003208331194532377,0.0003208331194532377,0.0,0.0,0.0,0.9936333148736642,
258,2022-08-27,0.9933156181817816,0.9895395488025815,0.9960503252711457,0.9925214927637662,0.9941296151676946,-0.0005483399062175184,-0.0005483399062175184,-0.0005483399062175184,-0.0005483399062175184,-0.0005483399062175184,-0.0005483399062175184,0.0,0.0,0.0,0.9927672782755641,
