,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_주식회사 선엔지니어링종합건축사사무소,y
355,2022-12-05,1.0015873675548945,0.9890192751392761,1.0175791269820946,0.9936185744497671,1.00875660107927,0.00237707599265703,0.00237707599265703,0.00237707599265703,0.00237707599265703,0.00237707599265703,0.00237707599265703,0.0,0.0,0.0,1.0039644435475517,
356,2022-12-06,1.0015890782719075,0.9887106379167192,1.0183918162112513,0.9935208064650864,1.0088653014253253,0.001773382888565986,0.001773382888565986,0.001773382888565986,0.001773382888565986,0.001773382888565986,0.001773382888565986,0.0,0.0,0.0,1.0033624611604735,
357,2022-12-07,1.0015907889889206,0.9887398665682559,1.0180452899326418,0.9934230384804057,1.0089740017713809,0.001992583229748435,0.001992583229748435,0.001992583229748435,0.001992583229748435,0.001992583229748435,0.001992583229748435,0.0,0.0,0.0,1.0035833722186691,
358,2022-12-08,1.0015924997059336,0.9881259632952748,1.0180313920211876,0.9933252704957249,1.0090827021174362,0.0016643384466147459,0.0016643384466147459,0.0016643384466147459,0.0016643384466147459,0.0016643384466147459,0.0016643384466147459,0.0,0.0,0.0,1.0032568381525484,
359,2022-12-09,1.0015942104229467,0.9876353983877799,1.016213285299083,0.9932277033293491,1.0091914024634916,0.0008305593486618296,0.0008305593486618296,0.0008305593486618296,0.0008305593486618296,0.0008305593486618296,0.0008305593486618296,0.0,0.0,0.0,1.0024247697716084,
360,2022-12-10,1.0015959211399599,0.9830532986106407,1.0118010378593283,0.993130558740813,1.0093001028095472,-0.004318971738064616,-0.004318971738064616,-0.004318971738064616,-0.004318971738064616,-0.004318971738064616,-0.004318971738064616,0.0,0.0,0.0,0.9972769494018953,
361,2022-12-11,1.0015976318569728,0.9827693204485897,1.0123853722654237,0.9930336561110259,1.0094088031556026,-0.004318968168187396,-0.004318968168187396,-0.004318968168187396,-0.004318968168187396,-0.004318968168187396,-0.004318968168187396,0.0,0.0,0.0,0.9972786636887854,
362,2022-12-12,1.001599342573986,0.9894289163410444,1.0168830980988268,0.992952443286766,1.009517186847326,0.0023770759926577474,0.0023770759926577474,0.0023770759926577474,0.0023770759926577474,0.0023770759926577474,0.0023770759926577474,0.0,0.0,0.0,1.0039764185666438,
363,2022-12-13,1.0016010532909991,0.9880757315009419,1.0186231292157024,0.9928787207769948,1.0096164082597963,0.0017733828885647277,0.0017733828885647277,0.0017733828885647277,0.0017733828885647277,0.0017733828885647277,0.0017733828885647277,0.0,0.0,0.0,1.0033744361795638,
364,2022-12-14,1.001602764008012,0.988675846191242,1.0185394586536574,0.992805008631753,1.009693575454801,0.0019925832297502124,0.0019925832297502124,0.0019925832297502124,0.0019925832297502124,0.0019925832297502124,0.0019925832297502124,0.0,0.0,0.0,1.0035953472377623,
