,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)토펙엔지니어링건축사사무소,y
408,2023-01-27,1.01297159343234,0.9843169799496325,1.0417156946745023,0.9870104453641255,1.0366049808139373,-2.7413764446713006e-05,-2.7413764446713006e-05,-2.7413764446713006e-05,-2.7413764446713006e-05,-2.7413764446713006e-05,-2.7413764446713006e-05,0.0,0.0,0.0,1.0129441796678933,
409,2023-01-28,1.0130302754431963,0.9808366010592929,1.0379769058074386,0.986865189204619,1.0367659581183926,-0.0027329988655146334,-0.0027329988655146334,-0.0027329988655146334,-0.0027329988655146334,-0.0027329988655146334,-0.0027329988655146334,0.0,0.0,0.0,1.0102972765776816,
410,2023-01-29,1.0130889574540525,0.9812200474706608,1.0370832351260617,0.9867199330451125,1.0369268169009553,-0.002732996357427118,-0.002732996357427118,-0.002732996357427118,-0.002732996357427118,-0.002732996357427118,-0.002732996357427118,0.0,0.0,0.0,1.0103559610966253,
411,2023-01-30,1.0131476394649086,0.9839392996934581,1.040297727553032,0.9865746768856062,1.0370876756835183,-9.289108683573559e-05,-9.289108683573559e-05,-9.289108683573559e-05,-9.289108683573559e-05,-9.289108683573559e-05,-9.289108683573559e-05,0.0,0.0,0.0,1.013054748378073,
412,2023-01-31,1.0132063214757647,0.9853868383860902,1.0423598255626048,0.9864294207260997,1.0372485344660811,0.001470366069624445,0.001470366069624445,0.001470366069624445,0.001470366069624445,0.001470366069624445,0.001470366069624445,0.0,0.0,0.0,1.0146766875453892,
413,2023-02-01,1.0132650034866209,0.984195995866796,1.0419439064888134,0.9862841645665934,1.0374905650246053,0.002226628608313536,0.002226628608313536,0.002226628608313536,0.002226628608313536,0.002226628608313536,0.002226628608313536,0.0,0.0,0.0,1.0154916320949343,
414,2023-02-02,1.013323685497477,0.9857499875241118,1.0450336155602558,0.986138908407087,1.0378403912764933,0.0018893053962948686,0.0018893053962948686,0.0018893053962948686,0.0018893053962948686,0.0018893053962948686,0.0018893053962948686,0.0,0.0,0.0,1.015212990893772,
415,2023-02-03,1.013382367508333,0.9839184793628172,1.0398461868495084,0.9859094212702864,1.0381902175283817,-2.7413764449027344e-05,-2.7413764449027344e-05,-2.7413764449027344e-05,-2.7413764449027344e-05,-2.7413764449027344e-05,-2.7413764449027344e-05,0.0,0.0,0.0,1.0133549537438842,
416,2023-02-04,1.0134410495191895,0.9804766468019617,1.0389001916858944,0.985611168643856,1.0384353765087737,-0.0027329988655164865,-0.0027329988655164865,-0.0027329988655164865,-0.0027329988655164865,-0.0027329988655164865,-0.0027329988655164865,0.0,0.0,0.0,1.010708050653673,
417,2023-02-05,1.0134997315300456,0.9793178989687046,1.0395899988908364,0.9853129160174259,1.0386493044242455,-0.0027329963574253113,-0.0027329963574253113,-0.0027329963574253113,-0.0027329963574253113,-0.0027329963574253113,-0.0027329963574253113,0.0,0.0,0.0,1.0107667351726202,
