,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_주식회사 동우이앤씨,y
44,2021-08-02,0.9897700524959496,0.9804092010561563,0.9954667808451299,0.9897700524959496,0.9897700524959496,-0.0016952770760506604,-0.0016952770760506604,-0.0016952770760506604,-0.0016952770760506604,-0.0016952770760506604,-0.0016952770760506604,0.0,0.0,0.0,0.988074775419899,0.9895248938
45,2021-08-03,0.9897572094645842,0.9794708542843059,0.994249245674243,0.9897572094645842,0.9897572094645842,-0.0028463920957269386,-0.0028463920957269386,-0.0028463920957269386,-0.0028463920957269386,-0.0028463920957269386,-0.0028463920957269386,0.0,0.0,0.0,0.9869108173688573,0.9837076
46,2021-08-05,0.9897315234018534,0.9786255658599342,0.9930501470995466,0.9897315234018534,0.9897315234018534,-0.0036918601965913616,-0.0036918601965913616,-0.0036918601965913616,-0.0036918601965913616,-0.0036918601965913616,-0.0036918601965913616,0.0,0.0,0.0,0.986039663205262,0.9852052
47,2021-08-06,0.9897186803704882,0.9800180835453304,0.9948265101961845,0.9897186803704882,0.9897186803704882,-0.002145600659238677,-0.002145600659238677,-0.002145600659238677,-0.002145600659238677,-0.002145600659238677,-0.002145600659238677,0.0,0.0,0.0,0.9875730797112495,0.9908314599
48,2021-08-09,0.989680151276392,0.9805592549424317,0.9953906378472193,0.989680151276392,0.989680151276392,-0.0016952770760508993,-0.0016952770760508993,-0.0016952770760508993,-0.0016952770760508993,-0.0016952770760508993,-0.0016952770760508993,0.0,0.0,0.0,0.9879848742003411,0.9836472653
49,2021-08-10,0.9896673082182582,0.9788013825077071,0.9949383378339565,0.9896673082182582,0.9896673082182582,-0.0028463920957284695,-0.0028463920957284695,-0.0028463920957284695,-0.0028463920957284695,-0.0028463920957284695,-0.0028463920957284695,0.0,0.0,0.0,0.9868209161225298,0.9890318
50,2021-08-12,0.9896416221019907,0.9787956188478,0.9932680204501297,0.9896416221019907,0.9896416221019907,-0.0036918601965928374,-0.0036918601965928374,-0.0036918601965928374,-0.0036918601965928374,-0.0036918601965928374,-0.0036918601965928374,0.0,0.0,0.0,0.9859497619053978,0.9861691
51,2021-08-17,0.9895774068113218,0.9797800588667851,0.9939163935909224,0.9895774068113218,0.9895774068113218,-0.0028463920957271585,-0.0028463920957271585,-0.0028463920957271585,-0.0028463920957271585,-0.0028463920957271585,-0.0028463920957271585,0.0,0.0,0.0,0.9867310147155947,0.9851951
52,2021-08-18,0.989564563753188,0.9778720900996742,0.993562507515568,0.989564563753188,0.989564563753188,-0.004158519404499128,-0.004158519404499128,-0.004158519404499128,-0.004158519404499128,-0.004158519404499128,-0.004158519404499128,0.0,0.0,0.0,0.985406044348689,0.983634481
53,2021-08-19,0.9895517206950543,0.9783822257373754,0.9927134362609741,0.9895517206950543,0.9895517206950543,-0.003691860196594313,-0.003691860196594313,-0.003691860196594313,-0.003691860196594313,-0.003691860196594313,-0.003691860196594313,0.0,0.0,0.0,0.98585986049846,0.9849355998
54,2021-08-20,0.9895388776369204,0.9800162077884353,0.9948756080240431,0.9895388776369204,0.9895388776369204,-0.002145600659230866,-0.002145600659230866,-0.002145600659230866,-0.002145600659230866,-0.002145600659230866,-0.002145600659230866,0.0,0.0,0.0,0.9873932769776895,0.9895414393
55,2021-08-23,0.989500348462519,0.9801547569069285,0.9955027386835585,0.989500348462519,0.989500348462519,-0.0016952770760640067,-0.0016952770760640067,-0.0016952770760640067,-0.0016952770760640067,-0.0016952770760640067,-0.0016952770760640067,0.0,0.0,0.0,0.987805071386455,0.9852167
56,2021-08-25,0.989474662390489,0.9778390676262262,0.9923560538859326,0.989474662390489,0.989474662390489,-0.0041585194044995956,-0.0041585194044995956,-0.0041585194044995956,-0.0041585194044995956,-0.0041585194044995956,-0.0041585194044995956,0.0,0.0,0.0,0.9853161429859894,0.9837071597
57,2021-08-26,0.989461819354474,0.9775315934866842,0.9935115336504211,0.989461819354474,0.989461819354474,-0.003691860196592104,-0.003691860196592104,-0.003691860196592104,-0.003691860196592104,-0.003691860196592104,-0.003691860196592104,0.0,0.0,0.0,0.9857699591578819,0.9861600165
58,2021-08-27,0.989448976318459,0.9790513512849622,0.9950796752250446,0.989448976318459,0.989448976318459,-0.0021456006592301363,-0.0021456006592301363,-0.0021456006592301363,-0.0021456006592301363,-0.0021456006592301363,-0.0021456006592301363,0.0,0.0,0.0,0.9873033756592289,0.9868347
59,2021-08-30,0.989410447210414,0.9801282780841701,0.9952576126678859,0.989410447210414,0.989410447210414,-0.0016952770760642452,-0.0016952770760642452,-0.0016952770760642452,-0.0016952770760642452,-0.0016952770760642452,-0.0016952770760642452,0.0,0.0,0.0,0.9877151701343498,0.9948774643
60,2021-08-31,0.989397604174399,0.9790909172079203,0.9936214435850337,0.989397604174399,0.989397604174399,-0.0028463920957280267,-0.0028463920957280267,-0.0028463920957280267,-0.0028463920957280267,-0.0028463920957280267,-0.0028463920957280267,0.0,0.0,0.0,0.986551212078671,0.9879418
61,2021-09-01,0.989384761138384,0.9776444512425637,0.9925050135356964,0.989384761138384,0.989384761138384,-0.004158519404500003,-0.004158519404500003,-0.004158519404500003,-0.004158519404500003,-0.004158519404500003,-0.004158519404500003,0.0,0.0,0.0,0.9852262417338841,0.9837076
62,2021-09-03,0.9893590750663539,0.9797628590374777,0.9950318273902156,0.9893590750663539,0.9893590750663539,-0.0021456006592166996,-0.0021456006592166996,-0.0021456006592166996,-0.0021456006592166996,-0.0021456006592166996,-0.0021456006592166996,0.0,0.0,0.0,0.9872134744071372,0.9895277
63,2021-09-06,0.9893205459975873,0.9799585872496422,0.9951948608239406,0.9893205459975873,0.9893205459975873,-0.0016952770760426217,-0.0016952770760426217,-0.0016952770760426217,-0.0016952770760426217,-0.0016952770760426217,-0.0016952770760426217,0.0,0.0,0.0,0.9876252689215447,0.9844388
64,2021-09-07,0.9893077029746651,0.979019858565017,0.9935120644602495,0.9893077029746651,0.9893077029746651,-0.002846392095723229,-0.002846392095723229,-0.002846392095723229,-0.002846392095723229,-0.002846392095723229,-0.002846392095723229,0.0,0.0,0.0,0.9864613108789418,0.9836052321
65,2021-09-08,0.9892948599517428,0.9771757802246313,0.9926662010904092,0.9892948599517428,0.9892948599517428,-0.0041585194045004725,-0.0041585194045004725,-0.0041585194045004725,-0.0041585194045004725,-0.0041585194045004725,-0.0041585194045004725,0.0,0.0,0.0,0.9851363405472423,0.9868378
66,2021-09-09,0.9892820169288206,0.9784201436581575,0.9930828582124234,0.9892820169288206,0.9892820169288206,-0.0036918601965950557,-0.0036918601965950557,-0.0036918601965950557,-0.0036918601965950557,-0.0036918601965950557,-0.0036918601965950557,0.0,0.0,0.0,0.9855901567322255,0.9857176
67,2021-09-13,0.9892306448371317,0.9805744218300365,0.9954894445990041,0.9892306448371317,0.9892306448371317,-0.0016952770760428604,-0.0016952770760428604,-0.0016952770760428604,-0.0016952770760428604,-0.0016952770760428604,-0.0016952770760428604,0.0,0.0,0.0,0.9875353677610889,0.9852169
68,2021-09-14,0.9892178018142096,0.9792901788392409,0.9937936914073582,0.9892178018142096,0.9892178018142096,-0.002846392095728248,-0.002846392095728248,-0.002846392095728248,-0.002846392095728248,-0.002846392095728248,-0.002846392095728248,0.0,0.0,0.0,0.9863714097184814,0.9889922
69,2021-09-15,0.9892053838078518,0.9772795999247643,0.9929074476687118,0.9892053838078518,0.9892053838078518,-0.0041585194045009105,-0.0041585194045009105,-0.0041585194045009105,-0.0041585194045009105,-0.0041585194045009105,-0.0041585194045009105,0.0,0.0,0.0,0.9850468644033509,0.9868376
70,2021-09-16,0.9891929658014939,0.9779634722084468,0.993171358885361,0.9891929658014939,0.9891929658014939,-0.003691860196592988,-0.003691860196592988,-0.003691860196592988,-0.003691860196592988,-0.003691860196592988,-0.003691860196592988,0.0,0.0,0.0,0.9855011056049009,0.9851702
71,2021-09-17,0.9891805477951361,0.9798037972820203,0.9946765349040958,0.9891805477951361,0.9891805477951361,-0.002145600659239931,-0.002145600659239931,-0.002145600659239931,-0.002145600659239931,-0.002145600659239931,-0.002145600659239931,0.0,0.0,0.0,0.9870349471358961,0.9908484
72,2021-09-24,0.9890936217506311,0.9786517573549152,0.994341819031904,0.9890936217506311,0.9890936217506311,-0.0021456006592328472,-0.0021456006592328472,-0.0021456006592328472,-0.0021456006592328472,-0.0021456006592328472,-0.0021456006592328472,0.0,0.0,0.0,0.9869480210913982,0.9827147
73,2021-09-27,0.9890563677315576,0.9797156037682778,0.9956073424217089,0.9890563677315576,0.9890563677315576,-0.0016952770760559675,-0.0016952770760559675,-0.0016952770760559675,-0.0016952770760559675,-0.0016952770760559675,-0.0016952770760559675,0.0,0.0,0.0,0.9873610906555016,0.983653
74,2021-09-28,0.9890439497251996,0.9783770516283297,0.9935449349421194,0.9890439497251996,0.9890439497251996,-0.0028463920957291166,-0.0028463920957291166,-0.0028463920957291166,-0.0028463920957291166,-0.0028463920957291166,-0.0028463920957291166,0.0,0.0,0.0,0.9861975576294705,0.9852155
75,2021-09-29,0.9890315317188418,0.9776614908290666,0.9923850040808485,0.9890315317188418,0.9890315317188418,-0.004158519404499335,-0.004158519404499335,-0.004158519404499335,-0.004158519404499335,-0.004158519404499335,-0.004158519404499335,0.0,0.0,0.0,0.9848730123143425,0.9837075
76,2021-09-30,0.9890332928613204,0.9775785012021566,0.9931111053472257,0.9890332928613204,0.9890332928613204,-0.003691860196592396,-0.003691860196592396,-0.003691860196592396,-0.003691860196592396,-0.003691860196592396,-0.003691860196592396,0.0,0.0,0.0,0.985341432664728,0.9861863
