,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_주식회사 영화키스톤건축사사무소,y
394,2023-02-24,0.998799784021469,0.9849344399306844,1.013410794727086,0.9923647103198858,1.0055347640599308,0.00028742203994762763,0.00028742203994762763,0.00028742203994762763,0.00028742203994762763,0.00028742203994762763,0.00028742203994762763,0.0,0.0,0.0,0.9990872060614165,
395,2023-02-25,0.9987980791754152,0.9872611009513608,1.0147700224710252,0.9923098186296969,1.0055729743535133,0.00196593487033534,0.00196593487033534,0.00196593487033534,0.00196593487033534,0.00196593487033534,0.00196593487033534,0.0,0.0,0.0,1.0007640140457505,
396,2023-02-26,0.9987963743293613,0.987088473219109,1.015194964718333,0.9922549269395081,1.0056111846470963,0.001965932478866508,0.001965932478866508,0.001965932478866508,0.001965932478866508,0.001965932478866508,0.001965932478866508,0.0,0.0,0.0,1.0007623068082279,
397,2023-02-27,0.9987946694833074,0.9844400089553895,1.01122792779896,0.9922000352493192,1.005649394940679,-0.0009962439353496729,-0.0009962439353496729,-0.0009962439353496729,-0.0009962439353496729,-0.0009962439353496729,-0.0009962439353496729,0.0,0.0,0.0,0.9977984255479577,
398,2023-02-28,0.9987929646372534,0.98615376471505,1.0130528478105345,0.9921451435591302,1.0056876052342618,0.0011075618361149633,0.0011075618361149633,0.0011075618361149633,0.0011075618361149633,0.0011075618361149633,0.0011075618361149633,0.0,0.0,0.0,0.9999005264733684,
399,2023-03-01,0.9987912597911995,0.9827168664894603,1.0102376235058503,0.9920902518689413,1.0057258155278446,-0.0025020253463093724,-0.0025020253463093724,-0.0025020253463093724,-0.0025020253463093724,-0.0025020253463093724,-0.0025020253463093724,0.0,0.0,0.0,0.9962892344448901,
400,2023-03-02,0.9987895549451457,0.9833973284270437,1.0121473306723285,0.9920613952310054,1.005764025821427,-0.0018285819436128054,-0.0018285819436128054,-0.0018285819436128054,-0.0018285819436128054,-0.0018285819436128054,-0.0018285819436128054,0.0,0.0,0.0,0.9969609730015329,
401,2023-03-03,0.9987878500990919,0.9848498374399659,1.013398728077155,0.9920094581781901,1.0058022361150099,0.0002874220399519675,0.0002874220399519675,0.0002874220399519675,0.0002874220399519675,0.0002874220399519675,0.0002874220399519675,0.0,0.0,0.0,0.9990752721390438,
402,2023-03-04,0.998786145253038,0.9872320546512505,1.0145361578454304,0.9919575211253748,1.0058404464085924,0.0019659348703337503,0.0019659348703337503,0.0019659348703337503,0.0019659348703337503,0.0019659348703337503,0.0019659348703337503,0.0,0.0,0.0,1.0007520801233718,
403,2023-03-05,0.9987844404069841,0.9862475801887678,1.015644569533512,0.9919055840725594,1.0058786567021754,0.001965932478860994,0.001965932478860994,0.001965932478860994,0.001965932478860994,0.001965932478860994,0.001965932478860994,0.0,0.0,0.0,1.0007503728858451,
404,2023-03-06,0.9987827355609302,0.983697223775095,1.0112260628773775,0.991853647019744,1.005916866995758,-0.0009962439353520041,-0.0009962439353520041,-0.0009962439353520041,-0.0009962439353520041,-0.0009962439353520041,-0.0009962439353520041,0.0,0.0,0.0,0.9977864916255782,
405,2023-03-07,0.9987810307148763,0.9862022907815041,1.0146182763582878,0.9918017099669286,1.0059550772893409,0.001107561836115555,0.001107561836115555,0.001107561836115555,0.001107561836115555,0.001107561836115555,0.001107561836115555,0.0,0.0,0.0,0.9998885925509919,
406,2023-03-08,0.9987793258688226,0.982568377134764,1.0102322942303885,0.9917497729141134,1.0059932875829236,-0.0025020253463050477,-0.0025020253463050477,-0.0025020253463050477,-0.0025020253463050477,-0.0025020253463050477,-0.0025020253463050477,0.0,0.0,0.0,0.9962773005225175,
407,2023-03-09,0.9987776210227687,0.9832824247529293,1.011273114973118,0.9916978358612979,1.0060462725062003,-0.0018285819436136034,-0.0018285819436136034,-0.0018285819436136034,-0.0018285819436136034,-0.0018285819436136034,-0.0018285819436136034,0.0,0.0,0.0,0.9969490390791551,
408,2023-03-10,0.9987759161767148,0.9850418131862727,1.013100234756295,0.9916458988084826,1.0061041315035666,0.00028742203994820416,0.00028742203994820416,0.00028742203994820416,0.00028742203994820416,0.00028742203994820416,0.00028742203994820416,0.0,0.0,0.0,0.999063338216663,
409,2023-03-11,0.9987742113306609,0.9872727759291353,1.0155389303594464,0.9915939617556672,1.0061388368040556,0.0019659348703315416,0.0019659348703315416,0.0019659348703315416,0.0019659348703315416,0.0019659348703315416,0.0019659348703315416,0.0,0.0,0.0,1.0007401462009924,
410,2023-03-12,0.9987725064846069,0.9869464114053016,1.0157150391134318,0.9915420247028518,1.0061735421045448,0.0019659324788554797,0.0019659324788554797,0.0019659324788554797,0.0019659324788554797,0.0019659324788554797,0.0019659324788554797,0.0,0.0,0.0,1.0007384389634624,
411,2023-03-13,0.9987708016385531,0.983815703436401,1.0114876868389455,0.9914900876500364,1.0062078880830998,-0.0009962439353503876,-0.0009962439353503876,-0.0009962439353503876,-0.0009962439353503876,-0.0009962439353503876,-0.0009962439353503876,0.0,0.0,0.0,0.9977745577032028,
412,2023-03-14,0.9987690967924993,0.986185134877144,1.0140461226005186,0.9914381505972212,1.0062412141457882,0.0011075618361147393,0.0011075618361147393,0.0011075618361147393,0.0011075618361147393,0.0011075618361147393,0.0011075618361147393,0.0,0.0,0.0,0.999876658628614,
413,2023-03-15,0.9987673919464454,0.9831023191325716,1.0097812816391993,0.9913862135444058,1.0062973880628974,-0.002502025346310193,-0.002502025346310193,-0.002502025346310193,-0.002502025346310193,-0.002502025346310193,-0.002502025346310193,0.0,0.0,0.0,0.9962653666001352,
414,2023-03-16,0.9987656871003915,0.9822792899122003,1.0126619565682369,0.9913344893506503,1.0063217906343553,-0.001828581943607277,-0.001828581943607277,-0.001828581943607277,-0.001828581943607277,-0.001828581943607277,-0.001828581943607277,0.0,0.0,0.0,0.9969371051567842,
415,2023-03-17,0.9987639822543376,0.9842471713802329,1.01315166650451,0.9912828450396731,1.0063436655021663,0.0002874220399606472,0.0002874220399606472,0.0002874220399606472,0.0002874220399606472,0.0002874220399606472,0.0002874220399606472,0.0,0.0,0.0,0.9990514042942983,
416,2023-03-18,0.9987622774082837,0.986507002420775,1.0144465557575888,0.9912312007286961,1.0063784014383257,0.0019659348703374283,0.0019659348703374283,0.0019659348703374283,0.0019659348703374283,0.0019659348703374283,0.0019659348703374283,0.0,0.0,0.0,1.0007282122786212,
417,2023-03-19,0.9987605725622299,0.9865077334409202,1.0159572290258116,0.9911790297712012,1.0064174155483687,0.001965932478860705,0.001965932478860705,0.001965932478860705,0.001965932478860705,0.001965932478860705,0.001965932478860705,0.0,0.0,0.0,1.0007265050410907,
418,2023-03-20,0.9987588677161761,0.9837731411670885,1.011664792464802,0.9911243221591873,1.0064560223388606,-0.00099624393535097,-0.00099624393535097,-0.00099624393535097,-0.00099624393535097,-0.00099624393535097,-0.00099624393535097,0.0,0.0,0.0,0.9977626237808251,
419,2023-03-21,0.9987571628701222,0.9855384239270275,1.0144899593603152,0.9910696145471735,1.0065087101987413,0.0011075618361139237,0.0011075618361139237,0.0011075618361139237,0.0011075618361139237,0.0011075618361139237,0.0011075618361139237,0.0,0.0,0.0,0.9998647247062361,
