,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_주식회사 아이티엠코퍼레이션건축사사무소,y
320,2022-12-11,1.0056760488577312,0.9938145134997374,1.0188389293845945,1.0001316288551083,1.0112110661047493,0.0004422545137572899,0.0004422545137572899,0.0004422545137572899,0.0004422545137572899,0.0004422545137572899,0.0004422545137572899,0.0,0.0,0.0,1.0061183033714884,
321,2022-12-12,1.0056947831345335,0.9931401328924178,1.0199840074732278,1.0000959305987023,1.0112960503619213,0.0007116947518622601,0.0007116947518622601,0.0007116947518622601,0.0007116947518622601,0.0007116947518622601,0.0007116947518622601,0.0,0.0,0.0,1.0064064778863957,
322,2022-12-13,1.005713517411336,0.9932052869851545,1.0193326985984743,1.0000602323422965,1.011380881934394,-3.540651748955918e-05,-3.540651748955918e-05,-3.540651748955918e-05,-3.540651748955918e-05,-3.540651748955918e-05,-3.540651748955918e-05,0.0,0.0,0.0,1.0056781108938466,
323,2022-12-14,1.0057322516881384,0.9916415084535716,1.0162701591037835,1.0000245616915018,1.0114650976610404,-0.0013969107106120175,-0.0013969107106120175,-0.0013969107106120175,-0.0013969107106120175,-0.0013969107106120175,-0.0013969107106120175,0.0,0.0,0.0,1.0043353409775264,
324,2022-12-15,1.0057509859649407,0.9917164350113775,1.0178547279543146,0.9999890853186592,1.0115490089765202,-0.00028286639097382135,-0.00028286639097382135,-0.00028286639097382135,-0.00028286639097382135,-0.00028286639097382135,-0.00028286639097382135,0.0,0.0,0.0,1.005468119573967,
325,2022-12-16,1.0057697202417433,0.992520625752591,1.0185317947514478,0.9999536089458164,1.0116329202919998,0.0001189797270416682,0.0001189797270416682,0.0001189797270416682,0.0001189797270416682,0.0001189797270416682,0.0001189797270416682,0.0,0.0,0.0,1.005888699968785,
326,2022-12-17,1.0057884545185458,0.9932185327217513,1.018383319120179,0.9999181325729737,1.0117168316074794,0.00044225462641218216,0.00044225462641218216,0.00044225462641218216,0.00044225462641218216,0.00044225462641218216,0.00044225462641218216,0.0,0.0,0.0,1.006230709144958,
327,2022-12-18,1.0058071887953481,0.992739690813458,1.0199638419589885,0.999882656200131,1.011800742922959,0.0004422545137580649,0.0004422545137580649,0.0004422545137580649,0.0004422545137580649,0.0004422545137580649,0.0004422545137580649,0.0,0.0,0.0,1.0062494433091063,
328,2022-12-19,1.0058259230721507,0.993706127481259,1.0195275417208873,0.999847320350211,1.0118846542384388,0.0007116947518634091,0.0007116947518634091,0.0007116947518634091,0.0007116947518634091,0.0007116947518634091,0.0007116947518634091,0.0,0.0,0.0,1.0065376178240142,
329,2022-12-20,1.005844657348953,0.9937973713786686,1.018857291601653,0.9998121706051563,1.0119685655539181,-3.540651748458995e-05,-3.540651748458995e-05,-3.540651748458995e-05,-3.540651748458995e-05,-3.540651748458995e-05,-3.540651748458995e-05,0.0,0.0,0.0,1.0058092508314684,
330,2022-12-21,1.0058633916257556,0.9907433155864538,1.018153343287988,0.9997770208601013,1.0120524768693977,-0.0013969107106123254,-0.0013969107106123254,-0.0013969107106123254,-0.0013969107106123254,-0.0013969107106123254,-0.0013969107106123254,0.0,0.0,0.0,1.0044664809151431,
331,2022-12-22,1.0058821259025579,0.9922804235650607,1.0195626596090717,0.9997469688116541,1.0121228494933354,-0.00028286639097298294,-0.00028286639097298294,-0.00028286639097298294,-0.00028286639097298294,-0.00028286639097298294,-0.00028286639097298294,0.0,0.0,0.0,1.0055992595115848,
332,2022-12-23,1.0059008601793604,0.9924367840487203,1.0194046212969552,0.9997281394962672,1.0121869398316106,0.00011897972704128585,0.00011897972704128585,0.00011897972704128585,0.00011897972704128585,0.00011897972704128585,0.00011897972704128585,0.0,0.0,0.0,1.0060198399064018,
333,2022-12-24,1.0059195944561627,0.9920993930132348,1.0197112250042346,0.9997093101808803,1.012251030169886,0.00044225462641031755,0.00044225462641031755,0.00044225462641031755,0.00044225462641031755,0.00044225462641031755,0.00044225462641031755,0.0,0.0,0.0,1.006361849082573,
334,2022-12-25,1.0059383287329653,0.9930321577449127,1.019018247126989,0.9996904808654933,1.0123257864111144,0.00044225451375707583,0.00044225451375707583,0.00044225451375707583,0.00044225451375707583,0.00044225451375707583,0.00044225451375707583,0.0,0.0,0.0,1.0063805832467223,
335,2022-12-26,1.0059570630097676,0.9934328194219842,1.0203856175436008,0.9996716515501063,1.0124425517009783,0.0007116947518610703,0.0007116947518610703,0.0007116947518610703,0.0007116947518610703,0.0007116947518610703,0.0007116947518610703,0.0,0.0,0.0,1.0066687577616287,
336,2022-12-27,1.0059757972865702,0.9926105482010504,1.0193770233612847,0.999638321540161,1.0125084967661968,-3.540651748530893e-05,-3.540651748530893e-05,-3.540651748530893e-05,-3.540651748530893e-05,-3.540651748530893e-05,-3.540651748530893e-05,0.0,0.0,0.0,1.005940390769085,
337,2022-12-28,1.0059945315633725,0.9907364453986626,1.0182249638339718,0.9995916431726976,1.012548935490649,-0.0013969107106126335,-0.0013969107106126335,-0.0013969107106126335,-0.0013969107106126335,-0.0013969107106126335,-0.0013969107106126335,0.0,0.0,0.0,1.0045976208527598,
338,2022-12-29,1.006013265840175,0.9925136861729797,1.0188981635436842,0.9995449648052341,1.0125893742151009,-0.0002828663909721445,-0.0002828663909721445,-0.0002828663909721445,-0.0002828663909721445,-0.0002828663909721445,-0.0002828663909721445,0.0,0.0,0.0,1.0057303994492028,
339,2022-12-30,1.0060320001169774,0.9923270256902788,1.0194249797159805,0.9994982864377706,1.0126353922625837,0.00011897972704090361,0.00011897972704090361,0.00011897972704090361,0.00011897972704090361,0.00011897972704090361,0.00011897972704090361,0.0,0.0,0.0,1.0061509798440182,
340,2022-12-31,1.00605073439378,0.9913853665261451,1.0209971804265932,0.9994516345919322,1.012698875738589,0.0004422546264118922,0.0004422546264118922,0.0004422546264118922,0.0004422546264118922,0.0004422546264118922,0.0004422546264118922,0.0,0.0,0.0,1.0064929890201917,
341,2023-01-01,1.0060694686705822,0.9913561588630735,1.0190171197286078,0.9993920116139201,1.0127623592145945,0.0004422545137557947,0.0004422545137557947,0.0004422545137557947,0.0004422545137557947,0.0004422545137557947,0.0004422545137557947,0.0,0.0,0.0,1.0065117231843381,
342,2023-01-02,1.0060882029473848,0.9926244984929105,1.0200546410750475,0.9993503072048845,1.0128258426905998,0.0007116947518622194,0.0007116947518622194,0.0007116947518622194,0.0007116947518622194,0.0007116947518622194,0.0007116947518622194,0.0,0.0,0.0,1.006799897699247,
343,2023-01-03,1.006106937224187,0.9921853291182142,1.019596881457565,0.9993142627513093,1.0128893261666052,-3.5406517487406496e-05,-3.5406517487406496e-05,-3.5406517487406496e-05,-3.5406517487406496e-05,-3.5406517487406496e-05,-3.5406517487406496e-05,0.0,0.0,0.0,1.0060715307066996,
344,2023-01-04,1.0061256715009896,0.9912874992638361,1.0188778425338594,0.9992778350407523,1.0129528096426106,-0.0013969107106129414,-0.0013969107106129414,-0.0013969107106129414,-0.0013969107106129414,-0.0013969107106129414,-0.0013969107106129414,0.0,0.0,0.0,1.0047287607903768,
345,2023-01-05,1.006144405777792,0.9919510403348814,1.0194391804161602,0.9992306962377454,1.013023396440856,-0.00028286639097593506,-0.00028286639097593506,-0.00028286639097593506,-0.00028286639097593506,-0.00028286639097593506,-0.00028286639097593506,0.0,0.0,0.0,1.005861539386816,
346,2023-01-06,1.0061631400545945,0.9926704299323005,1.0196834627008324,0.999185603169272,1.013096650832413,0.00011897972704216315,0.00011897972704216315,0.00011897972704216315,0.00011897972704216315,0.00011897972704216315,0.00011897972704216315,0.0,0.0,0.0,1.0062821197816367,
347,2023-01-07,1.0061818743313968,0.9932925753308867,1.0199405542800999,0.9991456556176639,1.0131699052239702,0.000442254626411462,0.000442254626411462,0.000442254626411462,0.000442254626411462,0.000442254626411462,0.000442254626411462,0.0,0.0,0.0,1.0066241289578084,
348,2023-01-08,1.0062006086081994,0.9928609230200859,1.019172234110247,0.9991076812052799,1.0132431596155276,0.00044225451375656957,0.00044225451375656957,0.00044225451375656957,0.00044225451375656957,0.00044225451375656957,0.00044225451375656957,0.0,0.0,0.0,1.006642863121956,
349,2023-01-09,1.0062193428850017,0.9942951124359398,1.0210810775057984,0.9990713467551285,1.0133164140070847,0.0007116947518616247,0.0007116947518616247,0.0007116947518616247,0.0007116947518616247,0.0007116947518616247,0.0007116947518616247,0.0,0.0,0.0,1.0069310376368634,
350,2023-01-10,1.0062380771618042,0.9920389741986475,1.019229778129505,0.9990350123049773,1.0133896683986419,-3.540651748674701e-05,-3.540651748674701e-05,-3.540651748674701e-05,-3.540651748674701e-05,-3.540651748674701e-05,-3.540651748674701e-05,0.0,0.0,0.0,1.0062026706443175,
351,2023-01-11,1.0062568114386066,0.9908296706133596,1.0190448588132535,0.998998677854826,1.013462922790199,-0.0013969107106117408,-0.0013969107106117408,-0.0013969107106117408,-0.0013969107106117408,-0.0013969107106117408,-0.0013969107106117408,0.0,0.0,0.0,1.0048599007279948,
352,2023-01-12,1.0062755457154091,0.9918687159255627,1.019817103241934,0.9989623434046746,1.0135361771817561,-0.0002828663909751414,-0.0002828663909751414,-0.0002828663909751414,-0.0002828663909751414,-0.0002828663909751414,-0.0002828663909751414,0.0,0.0,0.0,1.005992679324434,
353,2023-01-13,1.0062942799922114,0.9918704847002208,1.0195099930734028,0.9989286829468401,1.0136094315733133,0.00011897972704178084,0.00011897972704178084,0.00011897972704178084,0.00011897972704178084,0.00011897972704178084,0.00011897972704178084,0.0,0.0,0.0,1.0064132597192532,
354,2023-01-14,1.006313014269014,0.9925482820386559,1.0196147885787983,0.9989211851639843,1.0136826859648707,0.00044225462641103193,0.00044225462641103193,0.00044225462641103193,0.00044225462641103193,0.00044225462641103193,0.00044225462641103193,0.0,0.0,0.0,1.006755268895425,
355,2023-01-15,1.0063317485458165,0.9932967583286856,1.0200412567945802,0.9988864301152103,1.0137559403564278,0.00044225451375734434,0.00044225451375734434,0.00044225451375734434,0.00044225451375734434,0.00044225451375734434,0.00044225451375734434,0.0,0.0,0.0,1.0067740030595738,
356,2023-01-16,1.0063504828226189,0.9928578777491908,1.0216005580998848,0.9988510305439277,1.0138277418813868,0.0007116947518638632,0.0007116947518638632,0.0007116947518638632,0.0007116947518638632,0.0007116947518638632,0.0007116947518638632,0.0,0.0,0.0,1.0070621775744828,
357,2023-01-17,1.0063692170994212,0.9915563901710626,1.0201452089229028,0.9988156309726451,1.0138882361046337,-3.540651748884457e-05,-3.540651748884457e-05,-3.540651748884457e-05,-3.540651748884457e-05,-3.540651748884457e-05,-3.540651748884457e-05,0.0,0.0,0.0,1.0063338105819324,
358,2023-01-18,1.0063879513762237,0.9899104352799954,1.0187223503531428,0.9987691450385989,1.013967123527547,-0.001396910710612049,-0.001396910710612049,-0.001396910710612049,-0.001396910710612049,-0.001396910710612049,-0.001396910710612049,0.0,0.0,0.0,1.0049910406656117,
359,2023-01-19,1.006406685653026,0.9913769870625148,1.0198779236853657,0.9987448318300801,1.0140506893980792,-0.0002828663909742582,-0.0002828663909742582,-0.0002828663909742582,-0.0002828663909742582,-0.0002828663909742582,-0.0002828663909742582,0.0,0.0,0.0,1.0061238192620519,
360,2023-01-20,1.0064254199298286,0.9909231238905353,1.0211257015729551,0.9986982986286016,1.0141237945542032,0.00011897972704221949,0.00011897972704221949,0.00011897972704221949,0.00011897972704221949,0.00011897972704221949,0.00011897972704221949,0.0,0.0,0.0,1.0065443996568708,
361,2023-01-21,1.0064441542066311,0.9925318696922112,1.0214010307109098,0.9986457152673119,1.0141861001753285,0.0004422546264106019,0.0004422546264106019,0.0004422546264106019,0.0004422546264106019,0.0004422546264106019,0.0004422546264106019,0.0,0.0,0.0,1.0068864088330418,
362,2023-01-22,1.0064628884834335,0.9917598967626888,1.0205172003539087,0.998590292783151,1.0142511353696908,0.0004422545137563553,0.0004422545137563553,0.0004422545137563553,0.0004422545137563553,0.0004422545137563553,0.0004422545137563553,0.0,0.0,0.0,1.0069051429971898,
363,2023-01-23,1.0064816227602358,0.9917057462247656,1.0211049695009933,0.9984905992014552,1.0143354658415527,0.0007116947518615244,0.0007116947518615244,0.0007116947518615244,0.0007116947518615244,0.0007116947518615244,0.0007116947518615244,0.0,0.0,0.0,1.0071933175120973,
