,ds,yhat_(주)토문엔지니어링 건축사사무소_x,yhat_(주)토문엔지니어링 건축사사무소_y,yhat_(자)건축사사무소 태백,yhat_주식회사 영화키스톤건축사사무소,yhat_주식회사 동우이앤씨,yhat_(주)한림이앤씨건축사사무소,yhat_주식회사 아이티엠코퍼레이션건축사사무소,yhat_(주)케이디엔지니어링건축사사무소,yhat_(주)토펙엔지니어링건축사사무소,yhat_(주)한국종합건축사사무소,yhat_(주)태원종합기술단건축사사무소,yhat_주식회사 선엔지니어링종합건축사사무소
356,2023-02-26,0.9933412446382056,0.9933412446382056,0.990757073820128,1.000762306808228,0.997962861585628,0.996656740989448,1.007560842685277,1.0051095533008327,1.0119990574005957,0.9872484946822464,1.0022492676559402,0.9974103888987902
357,2023-02-27,0.9940040094793372,0.9940040094793372,0.9948858367511187,0.9977984255479576,0.9890022443610408,0.9986081932792088,1.007849017200183,1.0063712932414823,1.0146978446820525,0.989600265051929,1.0024935100059205,1.0041081437766666
358,2023-02-28,0.9946070997741702,0.9946070997741702,0.9961375871712258,0.9999005264733684,0.9878546145988444,0.9981619550391456,1.0071206502076402,1.007950008995734,1.0163197838493565,0.990241000475252,1.0031496520530443,1.0035061613895775
359,2023-03-01,0.9937467105736068,0.9937467105736068,0.995664512054775,0.99628923444489,0.9865459725475358,0.9969564783545288,1.0057778802913144,1.0065099255578207,1.0171347283989078,0.9899506073920415,1.0033659723827109,1.003727072447771
360,2023-03-02,0.994007728733218,0.994007728733218,0.9973928485344308,0.9969609730015327,0.987016117012907,0.9959447209122668,1.0069106588877548,1.0071533530415904,1.0168560871977452,0.9883799674184276,1.0024034274727065,1.0034005383816478
361,2023-03-03,0.99422609968452,0.99422609968452,0.9930962459625756,0.9990752721390438,0.98856586180772,0.9969738811432212,1.0073312392825722,1.0073729906046602,1.0149980500478597,0.990671876187566,1.0024100716358677,1.002568470000706
362,2023-03-04,0.9933600630864208,0.9933600630864208,0.9907731699453164,1.0007520801233718,0.9979837717505662,0.9966146111836696,1.0076732484587447,1.0052743001879656,1.0123511469576407,0.9872030966673848,1.0023487780297022,0.99742064963099
363,2023-03-05,0.9933631996312,0.9933631996312,0.9907758530039944,1.0007503728858451,0.997987258387866,0.9966075886764236,1.007691982622893,1.005301757952508,1.0124098314765906,0.987195531820968,1.0023653640222634,0.9974223639178892
364,2023-03-06,0.9940259644723288,0.9940259644723288,0.9949046159349708,0.9977864916255782,0.9890266411633044,0.9985590409661788,1.007980157137799,1.0065634978931506,1.0151086187580378,0.9895473021906436,1.0026096063722425,1.0041201187957485
365,2023-03-07,0.994629054767165,0.994629054767165,0.9961563663550892,0.999888592550992,0.9878790114010908,0.998112802726118,1.0072517901452551,1.00814221364741,1.0167305579253505,0.9901880376139716,1.003265748419368,1.0035181364086685
366,2023-03-08,0.9937686655666024,0.9937686655666024,0.995683291238638,0.9962773005225176,0.9865703693497838,0.9969073260415002,1.0059090202289305,1.006702130209498,1.0175455024749007,0.9898976445307612,1.0034820687490336,1.0037390474668595
367,2023-03-09,0.9940296837262124,0.9940296837262124,0.9974116277182984,0.9969490390791552,0.987040513815154,0.9958955685992408,1.0070417988253724,1.0073455576932655,1.017266861273738,0.9883270045571444,1.0025195238390283,1.0034125134007412
368,2023-03-10,0.9942480546775138,0.9942480546775138,0.9931150251464392,0.999063338216663,0.9885902586099694,0.9969247288301962,1.0074623792201889,1.0075651952563327,1.015408824123851,0.9906189133262832,1.0025261680021904,1.002580445019799
369,2023-03-11,0.9933820180794184,0.9933820180794184,0.9907919491291892,1.0007401462009924,0.998008168552792,0.9965654588706452,1.007804388396362,1.0054665048396467,1.0127619210336398,0.9871501338061104,1.0024648743960252,0.9974326246500947
370,2023-03-12,0.9933851546241949,0.9933851546241949,0.9907946321878608,1.0007384389634624,0.998011655190104,0.9965584363633988,1.007823122560509,1.0054939626041828,1.0128206055525857,0.9871425689596898,1.0024814603885863,0.9974343389369884
371,2023-03-13,0.9940479194653242,0.9940479194653242,0.9949233951188444,0.9977745577032028,0.9890510379655528,0.9985098886531522,1.0081112970754171,1.0067557025448273,1.0155193928340325,0.9894943393293568,1.0027257027385643,1.0041320938148404
372,2023-03-14,0.9946510097601592,0.9946510097601592,0.996175145538958,0.999876658628614,0.9879034082033404,0.9980636504130904,1.0073829300828718,1.0083344182990843,1.017141332001344,0.990135074752686,1.0033818447856906,1.0035301114277586
373,2023-03-15,0.993790620559596,0.993790620559596,0.9957020704225094,0.9962653666001352,0.986594766152032,0.9968581737284724,1.0060401601665478,1.0068943348611712,1.0179562765508945,0.9898446816694736,1.0035981651153552,1.003751022485953
374,2023-03-16,0.9940516387192084,0.9940516387192084,0.9974304069021638,0.9969371051567842,0.9870649106174044,0.9958464162862132,1.0071729387629902,1.0075377623449433,1.0176776353497297,0.988274041695862,1.0026356202053504,1.0034244884198298
375,2023-03-17,0.9942700096705096,0.9942700096705096,0.9931338043303044,0.9990514042942984,0.9886146554122311,0.9968755765171672,1.0075935191578071,1.0077573999080107,1.0158195981998417,0.9905659504649964,1.0026422643685124,1.0025924200388796
376,2023-03-18,0.993403973072413,0.993403973072413,0.9908107283130576,1.0007282122786212,0.9980325653550512,0.996516306557616,1.00793552833398,1.0056587094913223,1.013172695109631,0.9870971709448212,1.002580970762347,0.997444599669179
377,2023-03-19,0.9934071096171906,0.9934071096171906,0.9908134113717368,1.0007265050410907,0.9980360519923576,0.9965092840503706,1.0079542624981286,1.0056861672558604,1.013231379628579,0.9870896060983992,1.0025975567549077,0.9974463139560767
378,2023-03-20,0.9940698744583196,0.9940698744583196,0.9949421743027128,0.9977626237808253,0.9890754347677948,0.9984607363401268,1.0082424370130336,1.006947907196504,1.0159301669100274,0.9894413764680764,1.0028417991048877,1.0041440688339358
379,2023-03-21,0.9946729647531534,0.9946729647531534,0.996193924722827,0.999864724706236,0.9879278050055904,0.9980144981000624,1.007514070020488,1.008526622950759,1.0175521060773378,0.9900821118914004,1.0034979411520135,1.003542086446849
380,2023-03-22,0.9938125755525922,0.9938125755525922,0.9957208496063732,0.996253432677766,0.9866191629542824,0.9968090214154508,1.0061713001041652,1.0070865395128483,1.0183670506268865,0.9897917188081948,1.00371426148168,1.0037629975050444
381,2023-03-23,0.994073593712202,0.994073593712202,0.9974491860860332,0.9969251712343992,0.9870893074196482,0.9957972639731888,1.0073040787006082,1.007729966996616,1.018088409425723,0.9882210788345778,1.0027517165716724,1.003436463438928
382,2023-03-24,0.9942919646635032,0.9942919646635032,0.9931525835141682,0.9990394703719176,0.9886390522144808,0.9968264242041424,1.007724659095424,1.007949604559683,1.0162303722758326,0.9905129876037136,1.0027583607348354,1.0026043950579728
383,2023-03-25,0.993425928065406,0.993425928065406,0.9908295074969202,1.000716278356235,0.9980569621572948,0.9964671542445916,1.008066668271595,1.0058509141429932,1.0135834691856236,0.9870442080835408,1.0026970671286703,0.9974565746882758
384,2023-03-26,0.9934290646101852,0.9934290646101852,0.9908321905556032,1.000714571118708,0.9980604487945952,0.9964601317373462,1.0080854024357446,1.0058783719075357,1.013642153704574,0.9870366432371208,1.002713653121231,0.997458288975176
385,2023-03-27,0.9940918294513112,0.9940918294513112,0.9949609534865758,0.99775068985845,0.9890998315700712,0.9984115840270944,1.0083735769506528,1.0071401118481724,1.0163409409860116,0.989388413606778,1.0029578954712073,1.004156043853011
386,2023-03-28,0.9946949197461477,0.9946949197461477,0.9962127039066956,0.999852790783858,0.9879522018078402,0.9979653457870348,1.0076452099581044,1.0087188276024337,1.0179628801533316,0.9900291490301146,1.0036140375183364,1.0035540614659395
387,2023-03-29,0.9938345305455858,0.9938345305455858,0.9957396287902446,0.9962414987553836,0.9866435597565306,0.9967598691024234,1.0063024400417828,1.007278744164522,1.0187778247028798,0.9897387559469072,1.0038303578480017,1.0037749725241378
388,2023-03-30,0.994095548705196,0.994095548705196,0.9974679652699016,0.996913237312024,0.9871137042219024,0.9957481116601592,1.0074352186382216,1.0079221716482902,1.0184991835017183,0.9881681159732908,1.002867812937997,1.003448438458013
389,2023-03-31,0.9943139196564978,0.9943139196564978,0.9931713626980326,0.9990275364495448,0.9886634490167362,0.9967772718911152,1.0078557990330412,1.008141809211358,1.0166411463518237,0.9904600247424288,1.002874457101158,1.0026163700770594
390,2023-04-01,0.9934478830584008,0.9934478830584008,0.9908482866807886,1.0007043444338637,0.998081358959554,0.9964180019315628,1.0081978082092131,1.0060431187946688,1.013994243261615,0.9869912452222518,1.0028131634949924,0.9974685497073598
391,2023-04-02,0.993451019603178,0.993451019603178,0.9908509697394604,1.0007026371963383,0.9980848455968664,0.9964109794243152,1.0082165423733604,1.0060705765592073,1.0140529277805608,0.9869836803758316,1.0028297494875538,0.9974702639942512
392,2023-04-03,0.9941137844443064,0.9941137844443064,0.9949797326704384,0.9977387559360702,0.989124228372307,0.99836243171407,1.0085047168882677,1.0073323164998491,1.0167517150620071,0.9893354507455042,1.0030739918375315,1.0041680188721094
393,2023-04-04,0.9947168747391424,0.9947168747391424,0.9962314830905592,0.9998408568614816,0.9879765986100864,0.9979161934740072,1.0077763498957193,1.0089110322541093,1.0183736542293256,0.9899761861688344,1.0037301338846598,1.00356603648503
